benchmark,original_2q,ours_2q,ours_fid,qiskit_2q,qiskit_fid,guoq_2q,guoq_fid,quartz_2q,quartz_fid,tket_2q,tket_fid,queso_2q,queso_fid
grover_pigeon3,92,92,0.1057913729,92,0.3277611720944381,92,0.1084414993773882,92,0.1081978601912925,92,0.3282222589862066,92,0.1084414993773882
portfolioqaoa_nativegates_ibm_tket_8,168,161,0.1401550631,168,0.1358502737713242,168,0.1139579811436375,168,0.1098679614244929,168,0.1347471121063624,168,0.1139579811436375
portfoliovqe_nativegates_ibm_tket_8,84,84,0.3591166365,84,0.3619549092390153,84,0.3558000887888232,84,0.3480822229980316,84,0.3722759621900383,84,0.3552003791805612
qaoa_10,85,42,0.6093727421,75,0.4156457017551105,48,0.5686561906563261,59,0.5023539957902513,40,0.6218319830923373,59,0.5009435725787981
qaoa_5,42,30,0.6987776445,42,0.6124644959067825,36,0.6504393437461612,30,0.7027180470732873,20,0.7894505811068684,39,0.6283334446545662
qaoa_n10_p4,120,116,0.2556436548,120,0.2439880966297874,116,0.2560752758412036,0,1.0,120,0.2445375073221508,120,0.2445375073221508
qaoa_n4_p4,48,36,0.652454094,48,0.568017021891055,36,0.6537394558067346,44,0.5961566058853908,48,0.5692960786548152,36,0.6537394558067346
qaoa_n8_p4,96,88,0.3533104731,96,0.3233698631717639,88,0.3554026987407892,95,0.3278550871883303,96,0.3240980251717496,90,0.3473038815791266
qaoa_nativegates_ibm_tket_8,32,32,0.678834191,32,0.6799803142040186,32,0.6615002717036453,32,0.6596430249306288,32,0.6811283724600317,32,0.6615002717036453
qe_qft_4,27,25,0.735045261,25,0.743776584430035,27,0.7146692622659042,27,0.7260106587105265,12,0.8681411406126524,27,0.7146692622659042
qe_qft_5,38,36,0.6386603619,26,0.7340139745273586,38,0.6207816618273063,34,0.6650458249858955,20,0.7856862626449129,38,0.6207816618273063
qft_10_quest,216,94,0.3370136313,190,0.1100887139929989,101,0.3113287291959633,131,0.2203194998003274,107,0.2857470382916369,114,0.2680076261564953
qft_20,380,380,0.0090417385,368,0.014086484667668,380,0.0090417385172885,380,0.0090927248214117,380,0.0124581027931406,380,0.0090417385172885
qft_5,33,25,0.7377368041,33,0.6824714378242762,33,0.6703008118866015,21,0.7839224291743616,20,0.7912282604131285,33,0.6703008118866015
qft_nativegates_ibm_tket_8,68,68,0.4356216545,68,0.4464086646352775,68,0.4136586374734474,68,0.4118019638284762,56,0.5103233458987361,68,0.4120335915252119
qftentangled_nativegates_ibm_tket_8,75,74,0.4016295723,75,0.4085779024245938,75,0.3783904314435271,75,0.3757400724618103,61,0.4807983732626921,75,0.3765861613334044
qpeexact_nativegates_ibm_tket_8,64,64,0.4543830843,64,0.4685237661730499,64,0.4357410497145525,64,0.4339072401412749,55,0.514934549226503,64,0.4357410497145525
qpeinexact_nativegates_ibm_tket_8,65,63,0.4639350345,65,0.46315470857858,65,0.4294175360401313,65,0.4282118912850153,56,0.5077472061023177,65,0.4294175360401313
qf21_n15,115,87,0.3627718927,115,0.2633767292534417,81,0.3895126977873053,114,0.2663549896718291,115,0.2633767292534417,85,0.3719627514774221
vqe_4,74,74,0.4064003774,72,0.4255766737361808,74,0.4058294657777835,74,0.4150610640288247,68,0.444905067793629,74,0.4058294657777835
