benchmark,original_2q,ours_2q,qiskit_2q,guoq_2q,quartz_2q,tket_2q,queso_2q
4gt12-v0_86,116,76,114.0,80.0,86.0,110.0,86.0
4gt12-v0_88,86,60,86.0,61.0,68.0,85.0,68.0
4gt12-v1_89,100,70,100.0,72.0,76.0,100.0,75.0
4gt13_90,53,32,49.0,36.0,33.0,46.0,34.0
4gt13_92,30,22,30.0,22.0,24.0,30.0,22.0
4gt4-v0_72,113,71,113.0,72.0,90.0,113.0,82.0
4gt4-v0_73,179,117,179.0,129.0,146.0,169.0,133.0
4gt4-v0_78,109,73,107.0,75.0,80.0,104.0,84.0
4gt4-v0_80,79,54,79.0,56.0,65.0,79.0,60.0
4gt5_76,46,32,46.0,33.0,33.0,36.0,35.0
4mod5-bdd_287,31,22,31.0,23.0,23.0,29.0,25.0
4mod5-v0_18,31,13,31.0,15.0,18.0,28.0,17.0
C17_204,205,136,205.0,139.0,179.0,203.0,157.0
adder_8,409,305,385.0,310.0,341.0,383.0,333.0
adr4_197,1498,1031,1498.0,1013.0,1496.0,1488.0,1420.0
aj-e11_165,69,47,69.0,49.0,58.0,68.0,57.0
alu-v0_27,17,14,17.0,15.0,15.0,17.0,15.0
alu-v1_28,18,14,18.0,15.0,14.0,18.0,15.0
alu-v1_29,17,15,17.0,15.0,15.0,17.0,15.0
alu-v2_31,198,133,198.0,138.0,169.0,197.0,159.0
barenco_tof_10,192,146,192.0,147.0,166.0,192.0,176.0
barenco_tof_3,24,20,24.0,20.0,21.0,24.0,20.0
cm152a_212,532,342,532.0,346.0,512.0,531.0,460.0
cm42a_207,771,494,771.0,502.0,765.0,769.0,690.0
cm82a_208,283,182,283.0,195.0,257.0,281.0,251.0
csum_mux_9,168,125,168.0,149.0,155.0,168.0,168.0
cycle10_2_110,2648,1819,2644.0,2000.0,2648.0,2630.0,2494.0
dc1_220,833,535,833.0,562.0,821.0,833.0,755.0
decod24-enable_126,149,101,149.0,104.0,130.0,149.0,121.0
ex2_227,275,182,275.0,186.0,256.0,275.0,248.0
f2_232,525,353,525.0,362.0,499.0,525.0,465.0
gf2^10_mult,609,582,609.0,569.0,608.0,609.0,609.0
gf2^4_mult,99,89,99.0,91.0,98.0,99.0,99.0
gf2^5_mult,154,138,154.0,141.0,153.0,154.0,154.0
ham15-low,236,193,236.0,194.0,204.0,225.0,206.0
ham15-med,534,352,533.0,320.0,496.0,498.0,384.0
ham7_104,149,105,149.0,106.0,129.0,145.0,120.0
heisenberg_step_10_4,180,82,120.0,100.0,120.0,100.0,120.0
heisenberg_step_20_4,360,170,240.0,200.0,358.0,200.0,240.0
heisenberg_step_30_4,540,242,360.0,300.0,540.0,300.0,360.0
hwb4_49,107,70,104.0,74.0,90.0,99.0,85.0
hwb6,116,88,115.0,95.0,102.0,111.0,107.0
ising_model_13,120,96,120.0,96.0,118.0,120.0,102.0
ising_model_16,150,120,150.0,120.0,150.0,150.0,126.0
miller_11,23,17,23.0,17.0,18.0,19.0,20.0
mini-alu_167,126,83,126.0,86.0,96.0,126.0,101.0
mod10_171,108,71,108.0,73.0,94.0,107.0,84.0
mod10_176,78,53,78.0,54.0,59.0,77.0,63.0
mod5_4,28,19,28.0,20.0,21.0,28.0,23.0
mod8-10_178,152,108,152.0,110.0,136.0,152.0,117.0
mod_mult_55,48,44,48.0,45.0,42.0,48.0,43.0
mod_red_21,105,90,105.0,92.0,93.0,104.0,91.0
muliply_5,20,10,20.0,17.0,18.0,14.0,17.0
one-two-three-v0_97,128,82,128.0,83.0,110.0,128.0,102.0
one-two-three-v0_98,65,38,65.0,41.0,47.0,62.0,44.0
one-two-three-v1_99,59,42,59.0,42.0,46.0,58.0,46.0
one-two-three-v2_100,32,23,32.0,25.0,24.0,31.0,26.0
qaoa_5,42,22,42.0,29.0,26.0,21.0,31.0
qaoa_n10_p4,120,112,120.0,115.0,120.0,120.0,120.0
qaoa_n4_p4,48,33,48.0,34.0,30.0,48.0,36.0
qaoa_n8_p4,96,87,96.0,87.0,90.0,96.0,88.0
qaoa_nativegates_ibm_tket_8,32,32,32.0,32.0,32.0,32.0,32.0
qcla_adder_10,233,184,213.0,185.0,202.0,205.0,211.0
qcla_com_7,186,142,174.0,131.0,145.0,174.0,150.0
qe_qft_4,27,11,25.0,27.0,27.0,12.0,27.0
qe_qft_5,38,8,26.0,34.0,34.0,20.0,34.0
qft_20,380,347,350.0,380.0,380.0,380.0,380.0
qft_5,33,18,33.0,25.0,25.0,20.0,25.0
qft_nativegates_ibm_tket_8,68,68,68.0,68.0,68.0,56.0,68.0
qftentangled_nativegates_ibm_tket_8,75,75,75.0,75.0,75.0,61.0,75.0
qgan_nativegates_ibm_tket_8,28,28,28.0,28.0,28.0,28.0,28.0
qiskit-alu-v0_26,38,28,38.0,29.0,29.0,38.0,29.0
