time_s,total_2q
0.000,43079
0.073,43078
0.089,43078
0.092,43078
0.103,43078
0.111,43078
0.133,43078
0.152,43078
0.154,43078
0.178,43078
0.190,43078
0.194,43078
0.196,43078
0.209,43078
0.218,43078
0.224,43077
0.229,43077
0.255,43070
0.262,43069
0.266,43067
0.272,43067
0.307,43067
0.308,43066
0.318,43066
0.323,43066
0.327,43066
0.330,43063
0.332,43062
0.335,43062
0.342,43062
0.360,43062
0.365,43061
0.373,43061
0.378,43060
0.384,43057
0.389,43053
0.393,43053
0.399,43052
0.411,43052
0.412,43050
0.413,43050
0.414,43042
0.421,43042
0.424,43042
0.425,43041
0.432,43041
0.433,43040
0.436,43040
0.437,43040
0.442,43038
0.453,43038
0.461,43037
0.465,43035
0.470,43035
0.473,43005
0.478,43005
0.480,43005
0.497,43005
0.500,43005
0.503,43005
0.504,43005
0.511,43005
0.524,43005
0.533,43005
0.549,43005
0.557,43005
0.564,43005
0.571,43003
0.583,43003
0.586,43003
0.608,43003
0.612,43003
0.617,43003
0.627,42994
0.650,42990
0.656,42990
0.664,42990
0.672,42990
0.676,42989
0.686,42989
0.688,42989
0.691,42989
0.700,42986
0.701,42986
0.708,42986
0.727,42986
0.738,42986
0.755,42983
0.762,42981
0.830,42981
0.839,42975
0.849,42973
0.878,42973
0.887,42971
0.912,42965
0.917,42965
0.954,42963
0.958,42963
0.978,42961
0.987,42961
0.998,42960
1.014,42960
1.032,42957
1.037,42954
1.047,42953
1.058,42945
1.062,42945
1.108,42944
1.122,42942
1.131,42942
1.144,42941
1.157,42939
1.166,42935
1.174,42935
1.184,42934
1.202,42933
1.203,42930
1.213,42929
1.224,42929
1.229,42927
1.235,42927
1.256,42927
1.259,42926
1.279,42925
1.284,42922
1.302,42921
1.304,42917
1.309,42917
1.377,42917
1.377,42915
1.379,42915
1.390,42914
1.398,42911
1.399,42907
1.421,42907
1.441,42906
1.444,42906
1.460,42906
1.472,42905
1.473,42905
1.477,42904
1.490,42902
1.493,42901
1.511,42898
1.529,42897
1.561,42894
1.580,42893
1.582,42893
1.585,42891
1.594,42890
1.613,42889
1.617,42888
1.618,42886
1.621,42886
1.623,42885
1.634,42867
1.640,42867
1.649,42866
1.657,42865
1.675,42865
1.677,42863
1.688,42860
1.703,42852
1.706,42846
1.710,42846
1.718,42844
1.723,42842
1.732,42841
1.744,42841
1.773,42840
1.776,42839
1.808,42838
1.824,42836
1.830,42834
1.840,42834
1.847,42831
1.874,42828
1.887,42827
1.896,42826
1.912,42825
1.924,42811
1.931,42809
1.939,42808
1.941,42802
1.943,42800
1.968,42799
1.976,42798
1.978,42797
1.989,42796
2.000,42795
2.012,42794
