benchmark,total_size,total_2q,original_size,original_2q,fidelity
grover_pigeon3.qasm,8404,92,17438,92,0.10844149937738827
portfolioqaoa_nativegates_ibm_tket_8.qasm,1789,168,4464,168,0.1139579811436375
portfoliovqe_nativegates_ibm_tket_8.qasm,543,84,1912,84,0.35580008878882324
qaoa_10.qasm,156,48,205,85,0.5686561906563261
qaoa_5.qasm,160,36,174,42,0.6504393437461612
qaoa_n10_p4.qasm,366,116,730,120,0.2560752758412036
qaoa_n4_p4.qasm,136,36,292,48,0.6537394558067346
qaoa_n8_p4.qasm,288,88,584,96,0.3554026987407892
qaoa_nativegates_ibm_tket_8.qasm,349,32,952,32,0.6615002717036453
qe_qft_4.qasm,220,27,247,27,0.7146692622659042
qe_qft_5.qasm,341,38,383,38,0.6207816618273063
qft_10_quest.qasm,177,101,381,216,0.3113287291959633
qft_20.qasm,3100,380,3290,380,0.009041738517288579
qft_5.qasm,188,33,208,33,0.6703008118866015
qft_nativegates_ibm_tket_8.qasm,765,68,1814,68,0.4136586374734474
qftentangled_nativegates_ibm_tket_8.qasm,831,75,2019,75,0.37839043144352713
qpeexact_nativegates_ibm_tket_8.qasm,715,64,1747,64,0.4357410497145525
qpeinexact_nativegates_ibm_tket_8.qasm,743,65,1791,65,0.4294175360401313
qf21_n15.qasm,226,81,371,115,0.38951269778730535
vqe_4.qasm,476,74,502,74,0.4058294657777835
vqe_nativegates_ibm_tket_8.qasm,159,14,535,14,0.8339323746904869
vqe_uccsd_n4.qasm,321,84,556,88,0.36697597064639964
vqe_uccsd_n6.qasm,3038,952,5522,1052,1.2891359482415261e-05
ham15-high.qasm,3335,1585,6778,2149,1.0525868498945332e-08
misex1_241.qasm,3998,1580,6065,2100,1.0346790558855314e-08
0410184_169.qasm,211,79,287,104,0.3980358392658513
4gt10-v1_81.qasm,130,50,188,66,0.5588313889628898
4gt12-v1_89.qasm,195,74,292,100,0.4223597455590746
4gt13_90.qasm,90,38,131,53,0.6431675707394402
4gt13_92.qasm,61,24,82,30,0.7566414841282924
4gt4-v0_72.qasm,212,81,326,113,0.38940319869040124
4gt4-v0_73.qasm,325,135,491,179,0.2081568800019904
4gt5_76.qasm,80,36,111,46,0.6585358663485261
4mod5-bdd_287.qasm,73,23,98,31,0.7641226254193103
4mod5-v0_18.qasm,64,21,93,31,0.7823811056712511
4mod7-v1_96.qasm,133,51,212,72,0.5524274493347107
C17_204.qasm,395,157,587,205,0.16099173526345764
TFIM_step_100_16.qasm,2896,240,3840,240,0.044889381673838
TFIM_step_10_4.qasm,148,12,192,12,0.8562630060045069
XY_step_100_8.qasm,680,56,784,56,0.48473031214989337
adder_8.qasm,737,314,1060,409,0.026123184007026085
adder_9.qasm,123,53,194,98,0.540446348278798
ae_nativegates_ibm_tket_8.qasm,669,56,1626,56,0.4799837070395382
aj-e11_165.qasm,135,51,191,69,0.5524274493347107
alu-bdd_288.qasm,80,30,108,38,0.7052912163294454
alu-v0_27.qasm,40,15,48,17,0.8398161800831451
alu-v1_28.qasm,38,13,49,18,0.8593999453465048
alu-v1_29.qasm,44,15,53,17,0.839344071275817
alu-v2_30.qasm,429,170,636,223,0.13835628848665443
alu-v3_34.qasm,52,19,68,24,0.8015264507718172
alu-v4_37.qasm,41,16,49,18,0.8301922895461414
barenco_tof_3.qasm,52,21,70,24,0.783702054335428
