benchmark,total_size,total_2q,original_size,original_2q
0410184_169.qasm,201,80,363,104
3_17_13.qasm,33,11,60,17
4_49_16.qasm,160,66,329,99
4gt10-v1_81.qasm,113,45,228,66
4gt11_83.qasm,22,13,31,14
4gt11_84.qasm,17,8,26,9
4gt12-v0_86.qasm,173,80,371,116
4gt12-v0_87.qasm,165,75,367,112
4gt12-v0_88.qasm,140,61,290,86
4gt12-v1_89.qasm,168,72,356,100
4gt13-v1_93.qasm,60,22,116,30
4gt13_90.qasm,73,36,155,53
4gt13_91.qasm,69,32,151,49
4gt13_92.qasm,50,22,98,30
4gt4-v0_72.qasm,166,72,394,113
4gt4-v0_73.qasm,273,129,587,179
4gt4-v0_78.qasm,161,75,347,109
4gt4-v0_79.qasm,161,72,343,105
4gt4-v0_80.qasm,132,56,275,79
4gt4-v1_74.qasm,203,85,417,119
4gt5_76.qasm,64,33,131,46
4gt5_77.qasm,99,40,203,58
4mod5-bdd_287.qasm,66,23,126,31
4mod5-v0_18.qasm,43,15,117,31
4mod5-v0_19.qasm,30,12,59,16
4mod5-v0_20.qasm,21,7,36,10
4mod5-v1_22.qasm,22,8,37,11
4mod5-v1_23.qasm,42,18,109,32
4mod5-v1_24.qasm,38,12,68,16
4mod7-v0_94.qasm,104,44,242,72
4mod7-v1_96.qasm,122,47,260,72
9symml_195.qasm,52809,15232,52809,15232
C17_204.qasm,319,139,707,205
TFIM_step_100_16.qasm,2776,240,6240,240
TFIM_step_100_32.qasm,11423,992,25775,992
TFIM_step_100_4.qasm,142,12,312,12
TFIM_step_100_8.qasm,652,56,1456,56
TFIM_step_10_4.qasm,142,12,312,12
TFIM_step_20_4.qasm,142,12,312,12
TFIM_step_30_4.qasm,142,12,312,12
TFIM_step_40_4.qasm,142,12,312,12
TFIM_step_50_4.qasm,142,12,312,12
TFIM_step_60_4.qasm,142,12,312,12
TFIM_step_70_4.qasm,142,12,312,12
TFIM_step_80_4.qasm,142,12,312,12
TFIM_step_90_4.qasm,142,12,312,12
XY_step_100_4.qasm,138,12,288,12
XY_step_100_8.qasm,644,56,1344,56
adder_4.qasm,104,21,266,24
adder_8.qasm,684,310,900,409
