time_s,total_2q
0.000,43079
0.009,43075
0.011,43075
0.011,43075
0.011,43075
0.012,43075
0.012,43075
0.014,43075
0.014,43075
0.014,43075
0.014,43075
0.015,43075
0.015,43075
0.016,43075
0.016,43075
0.016,43075
0.016,43075
0.016,43075
0.017,43075
0.017,43075
0.019,43075
0.020,43075
0.021,43075
0.021,43073
0.021,43073
0.022,43073
0.022,43073
0.022,43073
0.022,43073
0.022,43073
0.023,43069
0.023,43069
0.023,43069
0.023,43069
0.024,43069
0.024,43069
0.025,43069
0.025,43069
0.026,43069
0.027,43066
0.027,43066
0.027,43066
0.028,43064
0.028,43064
0.028,43064
0.029,43064
0.029,43063
0.030,43063
0.030,43063
0.031,43063
0.032,43051
0.032,43049
0.032,43049
0.032,43049
0.033,43049
0.033,43049
0.034,43049
0.035,43049
0.036,43049
0.036,43049
0.037,43047
0.038,43047
0.039,43035
0.039,43035
0.040,43033
0.040,43031
0.040,43029
0.042,43025
0.044,43025
0.044,43023
0.045,43011
0.046,43011
0.047,43011
0.050,43006
0.051,42986
0.053,42986
0.053,42986
0.054,42986
0.054,42986
0.055,42986
0.056,42976
0.056,42976
0.058,42916
0.059,42916
0.062,42914
0.067,42914
0.067,42884
0.070,42882
0.075,42882
0.075,42882
0.077,42882
0.082,42858
0.084,42858
0.091,42858
0.094,42858
0.098,42738
0.099,42738
0.102,42712
0.104,42712
0.106,42712
0.107,42695
0.107,42664
0.107,42664
0.109,42664
0.109,42664
0.110,42664
0.114,42663
0.119,42663
0.146,42663
0.147,42483
0.149,42483
0.152,42483
0.160,42471
0.166,42471
0.176,42471
0.179,42471
0.185,42471
0.192,42471
0.217,42471
0.219,42471
0.264,42471
0.370,42261
0.371,42021
0.385,42021
0.397,41751
0.403,41747
0.509,41747
0.576,41447
0.590,41447
0.613,41447
0.675,41447
0.704,41447
0.831,41441
0.887,41320
0.934,41320
1.052,41320
