benchmark,total_size,total_2q,original_size,original_2q,fidelity
grover_pigeon3.qasm,548,92,17438,92,0.32776117209443817
portfolioqaoa_nativegates_ibm_tket_8.qasm,678,168,4464,168,0.13585027377132422
portfoliovqe_nativegates_ibm_tket_8.qasm,438,84,1912,84,0.3619549092390153
qaoa_10.qasm,208,75,205,85,0.41564570175511056
qaoa_5.qasm,106,42,177,42,0.6124644959067825
qaoa_n10_p4.qasm,414,120,730,120,0.24398809662978746
qaoa_n4_p4.qasm,172,48,292,48,0.568017021891055
qaoa_n8_p4.qasm,336,96,584,96,0.32336986317176397
qaoa_nativegates_ibm_tket_8.qasm,187,32,952,32,0.6799803142040186
qe_qft_4.qasm,94,25,247,27,0.743776584430035
qe_qft_5.qasm,117,26,383,38,0.7340139745273586
qft_10_quest.qasm,401,190,381,216,0.11008871399299897
qft_20.qasm,889,368,3290,380,0.01408648466766802
qft_5.qasm,75,33,208,33,0.6824714378242762
qft_nativegates_ibm_tket_8.qasm,260,68,1814,68,0.4464086646352775
qftentangled_nativegates_ibm_tket_8.qasm,324,75,2019,75,0.4085779024245938
qpeexact_nativegates_ibm_tket_8.qasm,257,64,1747,64,0.4685237661730499
qpeinexact_nativegates_ibm_tket_8.qasm,257,65,1791,65,0.46315470857858
qf21_n15.qasm,304,115,371,115,0.26337672925344174
vqe_4.qasm,288,72,509,74,0.4255766737361808
vqe_nativegates_ibm_tket_8.qasm,158,14,535,14,0.8353403609626198
vqe_uccsd_n4.qasm,235,71,556,88,0.43342492581570236
vqe_uccsd_n6.qasm,2475,931,5522,1052,1.8531917284086015e-05
ham15-high.qasm,5003,2143,6778,2149,1.6883247750677248e-11
misex1_241.qasm,4837,2100,6065,2100,2.8129750475036922e-11
0410184_169.qasm,237,102,287,104,0.3060353201530977
4gt10-v1_81.qasm,160,66,188,66,0.4653745669381174
4gt12-v1_89.qasm,234,100,292,100,0.3142301835626677
4gt13_90.qasm,113,49,131,53,0.5669012131800009
4gt13_92.qasm,72,30,82,30,0.706482008749294
4gt4-v0_72.qasm,263,113,326,113,0.27050534584728675
4gt4-v0_73.qasm,401,179,491,179,0.12613430947072996
4gt5_76.qasm,95,46,111,46,0.5875061721520883
4mod5-bdd_287.qasm,75,31,98,31,0.6979934610179095
4mod5-v0_18.qasm,66,31,93,31,0.6987788875129834
4mod7-v1_96.qasm,169,70,212,72,0.4445315420316881
C17_204.qasm,479,205,587,205,0.09323740832269438
TFIM_step_100_16.qasm,1703,240,3840,240,0.05303371213978206
TFIM_step_10_4.qasm,89,12,192,12,0.8632731489944624
XY_step_100_8.qasm,320,56,784,56,0.5067488895938482
adder_8.qasm,1006,385,1060,409,0.011373488080126585
adder_9.qasm,184,93,194,98,0.3404414903952817
ae_nativegates_ibm_tket_8.qasm,225,56,1626,56,0.5149354651940866
aj-e11_165.qasm,164,69,191,69,0.4495582985720643
alu-bdd_288.qasm,87,38,108,38,0.644253475469567
alu-v0_27.qasm,40,17,48,17,0.8211402941993021
alu-v1_28.qasm,41,18,49,18,0.8117304203551061
alu-v1_29.qasm,41,17,53,17,0.8209094567422508
alu-v2_30.qasm,524,221,636,223,0.0773832175411242
alu-v3_34.qasm,58,24,68,24,0.7570670749209976
alu-v4_37.qasm,41,18,49,18,0.8117304203551061
barenco_tof_3.qasm,63,24,70,24,0.7570670749209976
cm42a_207.qasm,1806,771,2276,771,0.0001332321927663685
cm82a_208.qasm,654,283,838,283,0.03781748550594195
csum_mux_9.qasm,453,168,476,168,0.1421010723814369
cycle10_2_110.qasm,6163,2644,7562,2648,5.1564772265244895e-14
dc1_220.qasm,1925,833,2430,833,6.525771805729769e-05
decod24-v3_45.qasm,161,64,206,64,0.4759589729973207
ex1_226.qasm,7,5,15,5,0.9434699651600734
f2_232.qasm,1227,525,1530,525,0.002296682408444944
gf2^10_mult.qasm,1313,609,1423,609,0.0008850848000261954
gf2^4_mult.qasm,233,99,253,99,0.31823054466383566
gf2^8_mult.qasm,864,405,943,405,0.009313057963260785
ham15-med.qasm,1236,533,1711,534,0.002088505171734236
ham7_104.qasm,348,149,396,149,0.1780373309966643
heisenberg_step_10_4.qasm,384,120,1232,180,0.2446750531926463
heisenberg_step_20_4.qasm,754,240,2462,360,0.06000068722912583
heisenberg_step_30_4.qasm,1124,360,3692,540,0.01471372917259709
heisenberg_step_35_4.qasm,1309,420,4307,630,0.007286282820920862
heisenberg_step_45_4.qasm,1679,540,5537,810,0.0017867860695091281
heisenberg_step_50_4.qasm,1864,600,6152,900,0.0008848218211853294
hlf_10.qasm,131,54,119,56,0.5321542946335854
hwb4_49.qasm,245,104,289,107,0.2997348975251262
hwb5_53.qasm,1414,598,1664,598,0.0009823752820938845
hwb6.qasm,277,115,415,116,0.2630806941770562
hwb6_56.qasm,7005,2952,8399,2952,1.431361425290622e-15
ising_model_13.qasm,555,120,919,120,0.23923310262469377
ising_model_16.qasm,687,150,1138,150,0.16745298998702005
majority_239.qasm,618,267,776,267,0.0455270743969003
miller_11.qasm,57,23,62,23,0.7658432714118036
adr4_197.qasm,3431,1498,4355,1498,2.985086619871354e-08
mod10_171.qasm,264,108,308,108,0.28606908783536844
mod10_176.qasm,186,78,226,78,0.40526223973526887
mod5_4.qasm,70,28,75,28,0.7229565399029606
mod_mult_55.qasm,137,48,147,48,0.5715413623039949
mod_red_21.qasm,282,105,338,105,0.29521906457530306
muliply_5.qasm,76,20,165,20,0.7890067856893355
multiply_10.qasm,359,132,310,163,0.21373042245662413
one-two-three-v0_97.qasm,308,128,362,128,0.22704705828533459
one-two-three-v1_99.qasm,137,59,168,59,0.5051867666736266
one-two-three-v2_100.qasm,79,32,89,32,0.6898008207313918
qcla_adder_10.qasm,576,213,621,233,0.08393227904546186
qcla_com_7.qasm,470,174,521,186,0.13201109068638306
qgan_nativegates_ibm_tket_8.qasm,153,28,700,28,0.7110628380925441
qiskit-alu-v0_26.qasm,86,38,108,38,0.644253475469567
radd_250.qasm,3208,1405,4045,1405,8.760888215437564e-08
rd32-v1_68.qasm,29,12,52,16,0.8703406833517842
rd32_270.qasm,84,36,116,36,0.6590915579426955
rd53_131.qasm,458,198,649,200,0.10104315129448238
rd53_133.qasm,570,252,724,256,0.05425650581463088
rd53_135.qasm,308,134,368,134,0.21211483715616716
rd53_138.qasm,142,60,164,60,0.4991168286864376
rd53_251.qasm,1311,564,1639,564,0.0014635123188293288
rd73_140.qasm,244,104,286,104,0.299903490465528
rd73_252.qasm,5337,2319,6737,2319,2.2306645912568236e-12
z4_268.qasm,3095,1343,3881,1343,1.7856354528083002e-07
sf_274.qasm,793,336,1025,336,0.020426832390624233
pm1_249.qasm,1806,771,2276,771,0.0001332321927663685
sqrt8_260.qasm,3045,1314,3805,1314,2.4929255544925445e-07
sym6_145.qasm,3888,1701,4860,1701,2.8577450283642867e-09
sym6_316.qasm,288,123,346,123,0.2405834203669962
tof_5.qasm,120,42,133,42,0.6138436391821805
wim_266.qasm,1002,427,1270,427,0.007140355840421779
heisenberg_step_40_4.qasm,1494,480,4922,720,0.0036081891085314624
cm152a_212.qasm,1227,532,1545,532,0.0021228381610073296
rd53_130.qasm,1056,448,1375,448,0.005584909036420754
sf_276.qasm,792,336,1010,336,0.02043257635910448
ex2_227.qasm,644,275,807,275,0.041458623669153816
ham15-low.qasm,456,236,637,236,0.06517065311708661
heisenberg_step_5_4.qasm,199,60,617,90,0.494090410219953
alu-v2_31.qasm,469,198,567,198,0.1010147462286708
gf2^6_mult.qasm,497,221,539,221,0.07781958099667421
barenco_tof_10.qasm,462,192,518,192,0.10833888091465846
mod8-10_178.qasm,363,152,430,152,0.1719381872340926
decod24-enable_126.qasm,353,149,422,149,0.17813747227945065
gf2^5_mult.qasm,353,154,383,154,0.16863535356337278
rd53_311.qasm,295,124,367,124,0.23762593415509808
mini-alu_167.qasm,310,126,360,126,0.23221098091920542
4gt12-v0_86.qasm,257,114,311,116,0.2674054843539647
4gt4-v0_78.qasm,242,107,291,109,0.289873894019814
4_49_16.qasm,230,97,273,99,0.32501111202032174
rc_adder_6.qasm,227,81,244,93,0.3880916080648987
4gt12-v0_88.qasm,209,86,242,86,0.3692542376248531
4gt4-v0_80.qasm,192,79,227,79,0.40039291847426356
one-two-three-v0_98.qasm,158,65,182,65,0.4709017369715996
