benchmark,original_2q,optimized_2q
sys6-v0_111,98,98
rd84_142,154,154
ham15-low,236,236
TFIM_step_60_4,12,12
hlf_10,56,54
qcla_mod_7,382,366
heisenberg_step_20_4,360,240
radd_250,1405,1405
4gt4-v0_78,109,107
sqn_258,4459,4459
gf2^8_mult,405,405
4mod7-v0_94,72,70
co14_215,7840,7840
sf_276,336,336
vqe_uccsd_n6,1052,931
TFIM_step_20_4,12,12
decod24-v1_41,38,38
sym9_148,9408,9408
urf3_155,185276,185276
vqe_uccsd_n8,5488,4891
wim_266,427,427
sym9_146,148,148
urf2_152,35210,35210
gf2^4_mult,99,99
heisenberg_step_45_4,810,540
mlp4_245,8232,8232
vqe_4,74,72
4gt4-v0_79,105,103
hwb9_119,90955,90945
cnt3-5_179,85,75
decod24-bdd_294,32,32
TFIM_step_30_4,12,12
dc1_220,833,833
4gt5_77,58,58
qaoa_n10_p4,120,120
mini-alu_167,126,126
qe_qft_5,38,26
gf2^5_mult,154,154
urf3_279,60380,60342
alu-v4_37,18,18
con1_216,415,415
root_255,7493,7493
grover_pigeon3,92,92
max46_240,11844,11844
urf2_277,10066,10056
adder_9,98,93
urf1_278,26692,26672
qft_5,33,33
qpeinexact_nativegates_ibm_tket_8,65,65
TFIM_step_70_4,12,12
qaoa_n14_p4,168,168
alu-v4_36,51,49
rd53_251,564,564
qaoa_n20_p4,240,240
qe_qft_4,27,25
gf2^9_mult,494,494
4gt5_76,46,46
heisenberg_step_30_4,540,360
csum_mux_9,168,168
TFIM_step_100_32,992,992
adder_8,409,385
sqrt8_260,1314,1314
qaoa_n30_p4,360,360
plus63mod4096_163,56329,56317
heisenberg_step_15_4,270,180
decod24-v0_38,23,21
4gt13_90,53,49
graycode6_47,5,5
4gt13-v1_93,30,30
rd32-v0_66,16,12
mod5_4,28,28
alu-v3_35,18,18
sym10_262,28084,28084
cm42a_207,771,771
decod24-v3_45,64,64
ising_model_13,120,120
4gt12-v0_86,116,114
4gt12-v0_88,86,86
portfoliovqe_nativegates_ibm_tket_8,84,84
mod5mils_65,16,16
qaoa_5,42,42
mod_red_21,105,105
plus63mod8192_164,81865,81852
qft_nativegates_ibm_tket_8,68,68
rd73_140,104,104
TFIM_step_100_16,240,240
4gt13_91,49,47
TFIM_step_80_4,12,12
TFIM_step_100_4,12,12
4gt12-v0_87,112,112
alu-v3_34,24,24
4mod5-v0_20,10,10
mod5d2_64,25,25
XY_step_100_8,56,56
4mod5-v0_18,31,31
urf1_149,80878,80878
4gt10-v1_81,66,66
mod_mult_55,48,48
TFIM_step_90_4,12,12
rd53_135,134,134
4gt12-v1_89,100,100
3_17_13,17,17
inc_237,4636,4636
alu-v2_33,17,17
qpeexact_nativegates_ibm_tket_8,64,64
decod24-v2_43,22,22
heisenberg_step_50_8,2100,1400
rd53_133,256,252
z4_268,1343,1343
4mod5-v0_19,16,16
ae_nativegates_ibm_tket_8,56,56
rd73_252,2319,2319
rd32-v1_68,16,12
qft_10_quest,216,190
alu-v2_32,72,72
qaoa_n4_p4,48,48
sym6_145,1701,1701
square_root_7,3089,3089
mod5d1_63,13,13
rd53_311,124,124
ex-1_166,9,9
one-two-three-v0_98,65,65
barenco_tof_5,72,72
cycle10_2_110,2648,2644
tof_4,30,30
decod24-enable_126,149,149
4gt4-v0_72,113,113
qft_10,90,0
tof_3,18,18
misex1_241,2100,2100
one-two-three-v3_101,32,32
urf5_280,23764,23726
portfolioqaoa_nativegates_ibm_tket_8,168,168
vqe_uccsd_n4,88,71
barenco_tof_3,24,24
4gt4-v0_80,79,79
one-two-three-v0_97,128,128
one-two-three-v2_100,32,32
4gt4-v0_73,179,179
qft_16,240,0
sf_274,336,336
tof_5,42,42
barenco_tof_4,48,48
qft_20,380,350
hwb6,116,115
muliply_5,20,20
squar5_261,869,869
rd32_270,36,36
qiskit-alu-v0_26,38,38
rc_adder_6,93,81
4gt4-v1_74,119,119
hwb8_113,30372,30368
mod10_176,78,78
adder_4,24,24
mod10_171,108,108
cm82a_208,283,283
one-two-three-v1_99,59,59
hwb5_53,598,598
4mod7-v1_96,72,70
qcla_com_7,186,174
qftentangled_nativegates_ibm_tket_8,75,75
miller_11,23,23
urf6_160,75180,75180
C17_204,205,205
qaoa_n6_p4,72,72
hlf_5,14,14
adr4_197,1498,1498
cnt3-5_180,215,205
rd84_253,5960,5960
qaoa_10,85,75
tof_10,102,102
dc2_222,4131,4131
ex1_226,5,5
ex2_227,275,275
ham15_107,3858,3856
urf5_158,71932,71932
ex3_229,175,175
TFIM_step_100_8,56,56
ising_model_10,90,90
mini_alu_305,77,77
mod8-10_177,196,194
alu-v0_27,17,17
heisenberg_step_40_4,720,480
4mod5-v1_22,11,11
urf4_187,224028,224028
ham3_102,11,9
csla_mux_3,80,71
mod8-10_178,152,152
ham15-med,534,533
TFIM_step_40_4,12,12
0410184_169,104,102
alu-v0_26,38,38
life_238,9800,9800
9symml_195,15232,15232
ising_model_16,150,150
heisenberg_step_5_4,90,60
multiply_10,163,132
barenco_tof_10,192,192
gf2^6_mult,221,221
4mod5-v1_24,16,16
ground_state_estimation_10,154209,3
hwb6_56,2952,2952
4mod5-v1_23,32,32
pm1_249,771,771
mod5adder_127,239,239
cm85a_209,4986,4986
4gt13_92,30,30
qaoa_nativegates_ibm_tket_8,32,32
heisenberg_step_25_4,450,300
xor5_254,5,5
sao2_257,16864,16864
TFIM_step_50_4,12,12
