time_s,total_2q
0.0,43079
1.1,43071
1.1,43070
1.4,43068
1.9,43060
2.1,43058
2.3,43057
2.6,43050
2.6,43047
2.7,43043
2.8,43033
2.9,43032
3.1,43024
3.2,43016
3.6,43012
3.6,43010
3.7,42999
3.7,42998
4.0,42983
4.0,42981
4.2,42801
4.3,42797
4.3,42795
4.4,42779
4.4,42771
4.4,42770
4.4,42769
4.5,42767
4.6,42751
4.7,42749
5.0,42712
5.0,42706
5.0,42704
5.1,42698
5.1,42692
5.1,42688
5.2,42685
5.2,42684
5.3,42681
5.3,42678
5.4,42668
5.4,42666
5.4,42665
5.5,42657
5.6,42654
5.6,42653
5.6,42652
5.7,42635
5.8,42629
5.8,42627
5.9,42619
5.9,42616
6.0,42615
6.0,42614
6.2,42611
6.4,42610
6.7,42600
6.7,42596
6.7,42594
6.7,42593
6.8,42591
6.8,42590
6.9,42585
7.1,42582
7.1,42580
7.2,42574
7.2,42573
7.2,42572
7.2,42571
7.4,42570
7.5,42567
7.5,42565
7.5,42564
7.6,42513
7.6,42509
7.6,42506
7.7,42499
7.7,42496
7.8,42482
7.8,42479
7.8,42478
7.8,42477
7.9,42476
8.0,42184
8.1,42182
8.1,42181
8.1,42180
8.1,42179
8.2,42155
8.2,42147
8.2,42146
8.2,42145
8.3,42143
8.4,42115
8.5,42106
8.5,42098
8.5,42091
8.5,42089
8.5,42088
8.5,42087
8.6,42085
8.6,42084
8.6,42083
8.7,42071
8.8,42063
8.8,42062
8.9,41966
9.3,41965
9.4,41963
9.5,41959
9.5,41958
9.6,41955
9.6,41954
9.7,41949
9.8,41948
9.9,41931
10.0,41929
10.2,41923
10.2,41918
10.2,41915
10.2,41912
10.3,41910
10.5,41907
10.5,41906
10.6,41905
10.8,41897
10.8,41894
10.8,41891
10.8,41890
10.9,41886
10.9,41885
11.3,41877
11.5,41875
11.6,41869
11.8,41866
12.0,41858
12.0,41855
12.2,41849
12.2,41844
12.3,41840
12.4,41835
12.5,41830
12.6,41800
12.6,41795
12.6,41793
12.7,41786
12.7,41785
12.9,41781
12.9,41779
13.0,41749
13.0,41744
13.0,41743
13.1,41738
13.3,41736
13.4,41729
13.4,41728
13.6,41727
13.8,41716
14.0,41715
14.1,41563
14.1,41562
14.2,41538
14.3,41535
14.3,41534
14.4,41533
14.5,41530
14.6,41527
14.6,41525
14.7,41524
14.8,41523
14.9,41520
14.9,41517
15.1,41512
15.1,41508
15.1,41507
15.2,41503
15.2,41500
15.2,41499
15.4,41497
15.5,41493
15.5,41492
15.5,41491
15.8,41489
15.8,41488
15.8,41487
15.9,41480
16.1,41477
16.2,41475
16.4,41474
16.5,41473
16.6,41443
16.6,41442
16.7,41438
16.8,41168
16.8,41167
16.9,41162
17.0,41161
17.1,41152
17.1,41147
17.1,41145
17.2,41131
17.2,41123
17.4,41120
17.5,41119
17.6,41111
17.7,41105
17.8,41104
18.0,41100
18.0,41098
18.1,41067
18.1,41066
18.2,41065
18.3,41055
18.5,41047
18.7,41043
18.8,41041
18.9,41033
18.9,41029
19.2,41010
19.3,41007
19.5,41002
19.5,40999
19.7,40995
19.7,40993
19.8,40985
20.4,40984
20.5,40977
20.5,40976
20.6,40972
20.6,40970
20.9,40969
20.9,40968
21.0,40964
21.4,40960
21.4,40957
21.6,40956
21.6,40955
21.9,40954
22.0,40939
22.1,40935
22.1,40934
22.4,40933
22.5,40932
22.8,40930
22.9,40925
23.4,40917
23.8,40909
23.8,40902
23.9,40897
23.9,40896
24.0,40882
24.3,40877
24.4,40846
24.4,40843
24.6,40828
24.6,40821
24.6,40819
24.7,40817
24.9,40815
25.0,40814
25.1,40808
25.3,40807
25.6,40795
25.7,40787
25.8,40785
25.8,40784
26.2,40776
26.3,40763
26.3,40751
26.3,40749
26.4,40746
26.7,40739
27.1,40732
27.1,40729
28.5,40723
28.9,40720
29.1,40711
29.5,40708
29.6,40698
29.6,40697
30.3,40685
30.5,40681
30.6,40680
31.1,40678
31.2,40672
31.2,40669
31.5,40657
31.8,40653
32.1,40651
32.4,40647
32.5,40645
32.6,40627
32.6,40625
32.8,40613
33.0,40609
33.0,40605
33.0,40603
33.1,40591
33.2,40580
33.8,40575
34.1,40574
34.2,40569
34.2,40567
34.5,40564
34.5,40563
35.0,40562
36.0,40559
36.3,40553
36.4,40451
36.5,40438
37.2,40435
37.7,40428
37.9,40418
38.0,40408
38.0,40401
38.4,40393
39.0,40374
39.1,40372
40.0,40361
40.1,40359
40.1,40358
40.3,40352
40.3,40351
40.6,40334
40.6,40327
40.7,40317
41.0,40316
41.1,40305
41.8,40276
41.8,40273
42.2,40267
42.2,40266
43.1,40264
43.3,40254
43.3,40253
43.5,40250
43.7,40246
45.0,40244
45.0,40243
45.6,40237
45.6,40236
45.8,40230
46.6,40218
46.7,40212
47.5,40211
47.8,40208
47.8,40207
47.9,40206
48.7,40205
48.9,40201
49.3,40197
50.0,40193
50.1,40188
50.9,40185
51.1,40182
51.7,40178
52.4,40177
52.5,40173
53.2,40172
54.8,40167
55.0,40166
55.1,40153
55.6,40149
56.1,40148
56.4,40145
56.7,40137
57.1,40133
57.4,40132
58.5,40121
59.1,40120
59.4,40111
60.2,40104
61.3,40100
61.5,40099
61.9,40093
62.1,40090
62.2,40075
62.5,40053
62.9,40051
63.2,40039
63.5,40025
64.0,40015
64.1,40006
64.1,40005
64.5,40004
64.6,40003
64.9,40002
65.1,39996
65.2,39993
66.6,39990
68.1,39932
68.3,39931
68.8,39930
69.0,39926
69.3,39920
70.5,39919
71.3,39912
71.9,39911
72.8,39909
73.9,39906
74.7,39893
75.1,39883
76.1,39875
78.5,39874
78.7,39871
79.3,39860
79.6,39858
79.8,39849
79.9,39846
80.8,39845
81.7,39811
82.3,39804
82.5,39803
83.3,39797
83.5,39777
84.5,39775
85.2,39774
86.4,39765
89.4,39757
89.4,39753
89.7,39736
90.2,39726
90.9,39663
91.7,39659
92.0,39657
92.9,39648
94.1,39647
95.4,39646
96.2,39644
98.2,39494
99.3,39476
100.4,39473
100.5,39466
101.0,39396
101.2,39394
102.1,39391
103.8,39387
104.8,39386
105.9,39385
107.7,39382
108.2,39381
108.5,39380
109.6,39360
110.0,39359
110.7,39323
111.0,39322
112.5,39316
113.2,39308
114.8,39307
115.8,39306
117.5,39302
117.5,39300
118.8,39299
119.2,39297
123.2,39251
124.5,39250
125.1,39248
125.4,39247
126.1,39243
126.5,39242
126.8,39206
131.4,39205
131.9,39168
132.6,39133
134.6,39132
135.4,39130
136.5,39129
137.6,39128
137.7,39126
138.8,39124
140.2,39123
141.7,39122
142.5,39106
143.0,39105
143.1,39102
143.2,39101
143.8,39098
144.0,39063
144.2,39062
145.6,39061
146.9,39060
147.8,39056
149.1,39055
149.3,39054
149.8,39050
151.3,39049
152.3,39048
152.4,39047
153.7,39046
153.8,39044
155.8,39042
158.5,39028
160.1,39013
160.6,38993
161.3,38992
166.0,38983
166.0,38978
166.0,38977
166.3,38964
166.9,38962
167.9,38961
168.0,38959
169.3,38953
