benchmark,exit,original_size,original_2q,final_size,final_2q,symb_applied
grover_pigeon3,0,17438,92,8576,92,2
portfolioqaoa_nativegates_ibm_tket_8,0,4464,168,875,161,0
portfoliovqe_nativegates_ibm_tket_8,0,1912,84,483,84,4
qaoa_10,0,205,85,154,46,13
qaoa_5,0,177,42,160,35,11
qaoa_n10_p4,0,730,120,370,116,3
qaoa_n4_p4,0,292,48,150,36,0
qaoa_n8_p4,0,584,96,325,88,0
qaoa_nativegates_ibm_tket_8,0,952,32,175,32,7
qe_qft_4,0,247,27,195,27,7
qe_qft_5,0,383,38,279,36,16
qft_10_quest,0,381,216,183,91,3
qft_20,0,3290,380,3089,380,12
qft_5,0,208,33,176,27,17
qft_nativegates_ibm_tket_8,0,1814,68,398,68,2
qftentangled_nativegates_ibm_tket_8,0,2019,75,463,74,2
qpeexact_nativegates_ibm_tket_8,0,1747,64,408,64,3
qpeinexact_nativegates_ibm_tket_8,0,1791,65,387,61,3
qf21_n15,0,371,115,233,84,6
vqe_4,0,509,74,444,74,9
vqe_nativegates_ibm_tket_8,0,535,14,153,14,3
vqe_uccsd_n4,0,556,88,197,61,14
vqe_uccsd_n6,0,5522,1052,1701,615,2
ham15-high,0,6778,2149,3507,1527,3
misex1_241,0,6065,2100,4023,1585,6
0410184_169,0,287,104,201,75,3
4gt10-v1_81,0,188,66,131,47,11
4gt12-v1_89,0,292,100,167,68,3
4gt13_90,0,131,53,75,31,0
4gt13_92,0,82,30,62,22,28
4gt4-v0_72,0,326,113,220,84,10
4gt4-v0_73,0,491,179,298,118,2
4gt5_76,0,111,46,72,32,3
4mod5-bdd_287,0,98,31,65,20,5
4mod5-v0_18,0,93,31,63,22,10
4mod7-v1_96,0,212,72,139,50,3
C17_204,0,587,205,414,159,2
TFIM_step_100_16,0,3840,240,2775,240,3
TFIM_step_10_4,0,192,12,132,12,3
XY_step_100_8,0,784,56,659,56,6
adder_8,0,1060,409,823,334,1
adder_9,0,194,98,100,39,5
ae_nativegates_ibm_tket_8,0,1626,56,328,56,2
aj-e11_165,0,191,69,130,48,3
alu-bdd_288,0,108,38,74,27,15
alu-v0_27,0,48,17,39,14,12
alu-v1_28,0,49,18,37,13,12
alu-v1_29,0,53,17,37,14,2
alu-v2_30,0,636,223,443,170,4
alu-v3_34,0,68,24,47,16,22
alu-v4_37,0,49,18,36,15,12
barenco_tof_3,0,70,24,53,20,11
cm42a_207,0,2276,771,1505,583,6
cm82a_208,0,838,283,563,216,4
csum_mux_9,0,476,168,404,159,11
cycle10_2_110,0,7562,2648,5153,2049,2
dc1_220,0,2430,833,1589,621,7
decod24-v3_45,0,206,64,139,50,8
ex1_226,0,15,5,7,5,2
f2_232,0,1530,525,1007,393,10
gf2^10_mult,0,1423,609,1137,569,4
gf2^4_mult,0,253,99,194,88,7
gf2^8_mult,0,943,405,742,376,7
ham15-med,0,1711,534,891,382,4
ham7_104,0,396,149,269,102,3
heisenberg_step_10_4,0,1232,180,736,112,2
heisenberg_step_20_4,0,2462,360,1808,240,4
heisenberg_step_30_4,0,3692,540,2706,360,5
heisenberg_step_35_4,0,4307,630,3105,420,5
heisenberg_step_45_4,0,5537,810,4052,540,5
heisenberg_step_50_4,0,6152,900,4479,600,3
hlf_10,0,119,56,90,35,3
hwb4_49,0,289,107,212,81,1
hwb5_53,0,1664,598,1151,450,6
hwb6,0,415,116,233,93,1
hwb6_56,0,8399,2952,5934,2334,3
ising_model_13,0,919,120,479,120,26
ising_model_16,0,1138,150,593,150,30
majority_239,0,776,267,527,200,4
miller_11,0,62,23,43,16,16
adr4_197,0,4355,1498,2890,1154,6
mod10_171,0,308,108,216,81,7
mod10_176,0,226,78,145,51,6
mod5_4,0,75,28,60,24,8
mod_mult_55,0,147,48,117,38,7
mod_red_21,0,338,105,240,87,0
muliply_5,0,165,20,128,18,8
multiply_10,0,310,163,189,92,3
one-two-three-v0_97,0,362,128,243,88,12
one-two-three-v1_99,0,168,59,119,46,12
one-two-three-v2_100,0,89,32,68,23,13
qcla_adder_10,0,621,233,454,191,15
qcla_com_7,0,521,186,362,141,3
qgan_nativegates_ibm_tket_8,0,700,28,175,28,3
qiskit-alu-v0_26,0,108,38,78,29,1
radd_250,0,4045,1405,2616,1048,5
rd32-v1_68,0,52,16,33,10,17
rd32_270,0,116,36,60,25,10
rd53_131,0,649,200,330,139,7
rd53_133,0,724,256,495,190,4
rd53_135,0,368,134,253,100,5
rd53_138,0,164,60,115,40,9
rd53_251,0,1639,564,1085,424,5
rd73_140,0,286,104,186,66,3
rd73_252,0,6737,2319,4447,1756,4
z4_268,0,3881,1343,2657,1069,3
sf_274,0,1025,336,659,249,3
pm1_249,0,2276,771,1497,585,6
sqrt8_260,0,3805,1314,2479,978,4
sym6_145,0,4860,1701,3214,1288,6
sym6_316,0,346,123,249,93,2
tof_5,0,133,42,106,36,7
wim_266,0,1270,427,773,298,7
heisenberg_step_40_4,0,4922,720,3489,475,3
cm152a_212,0,1545,532,1036,407,5
rd53_130,0,1375,448,876,342,6
sf_276,0,1010,336,643,237,11
ex2_227,0,807,275,535,207,3
ham15-low,0,637,236,396,206,4
heisenberg_step_5_4,0,617,90,392,60,2
alu-v2_31,0,567,198,366,137,1
gf2^6_mult,0,539,221,428,208,8
barenco_tof_10,0,518,192,389,161,4
mod8-10_178,0,430,152,292,108,5
decod24-enable_126,0,422,149,293,109,11
gf2^5_mult,0,383,154,301,144,6
rd53_311,0,367,124,242,91,7
mini-alu_167,0,360,126,252,93,7
4gt12-v0_86,0,311,116,178,74,8
4gt4-v0_78,0,291,109,201,77,7
4_49_16,0,273,99,175,65,6
rc_adder_6,0,244,93,207,75,1
4gt12-v0_88,0,242,86,167,61,11
4gt4-v0_80,0,227,79,156,56,1
one-two-three-v0_98,0,182,65,134,49,5
