benchmark,exit,original_size,original_2q,final_size,final_2q,symb_applied
grover_pigeon3,0,17438,92,11541,92,0
portfolioqaoa_nativegates_ibm_tket_8,0,4464,168,3741,168,0
portfoliovqe_nativegates_ibm_tket_8,0,1912,84,1782,84,0
qaoa_10,0,205,85,177,57,0
qaoa_5,0,177,42,164,37,0
qaoa_n10_p4,0,730,120,711,119,0
qaoa_n4_p4,0,292,48,214,36,0
qaoa_n8_p4,0,584,96,530,95,0
qaoa_nativegates_ibm_tket_8,0,952,32,830,32,0
qe_qft_4,0,247,27,243,27,0
qe_qft_5,0,383,38,373,38,0
qft_10_quest,0,381,216,285,120,0
qft_20,0,3290,380,3281,380,0
qft_5,0,208,33,208,33,0
qft_nativegates_ibm_tket_8,0,1814,68,1208,68,0
qftentangled_nativegates_ibm_tket_8,0,2019,75,1384,75,0
qpeexact_nativegates_ibm_tket_8,0,1747,64,1124,64,0
qpeinexact_nativegates_ibm_tket_8,0,1791,65,1103,65,0
qf21_n15,0,371,115,369,114,0
vqe_4,0,509,74,483,74,0
vqe_nativegates_ibm_tket_8,0,535,14,370,14,0
vqe_uccsd_n4,0,556,88,228,62,0
vqe_uccsd_n6,0,5522,1052,2456,880,0
ham15-high,0,6778,2149,5681,2138,0
misex1_241,0,6065,2100,4764,1767,0
0410184_169,0,287,104,257,93,0
4gt10-v1_81,0,188,66,155,54,0
4gt12-v1_89,0,292,100,221,84,0
4gt13_90,0,131,53,92,36,0
4gt13_92,0,82,30,67,25,0
4gt4-v0_72,0,326,113,272,96,0
4gt4-v0_73,0,491,179,398,152,0
4gt5_76,0,111,46,88,40,0
4mod5-bdd_287,0,98,31,75,22,0
4mod5-v0_18,0,93,31,59,18,0
4mod7-v1_96,0,212,72,168,54,0
C17_204,0,587,205,481,178,0
TFIM_step_100_16,0,3840,240,3720,240,0
TFIM_step_10_4,0,192,12,158,12,0
XY_step_100_8,0,784,56,768,56,0
adder_8,0,1060,409,1053,405,0
adder_9,0,194,98,134,51,0
ae_nativegates_ibm_tket_8,0,1626,56,983,56,0
aj-e11_165,0,191,69,164,55,0
alu-bdd_288,0,108,38,93,32,0
alu-v0_27,0,48,17,41,15,0
alu-v1_28,0,49,18,40,14,0
alu-v1_29,0,53,17,43,14,0
alu-v2_30,0,636,223,534,190,0
alu-v3_34,0,68,24,57,20,0
alu-v4_37,0,49,18,40,15,0
barenco_tof_3,0,70,24,69,24,0
cm42a_207,0,2276,771,1865,677,0
cm82a_208,0,838,283,688,249,0
csum_mux_9,0,476,168,476,168,0
cycle10_2_110,0,7562,2648,6075,2292,0
dc1_220,0,2430,833,1947,713,0
decod24-v3_45,0,206,64,158,50,0
ex1_226,0,15,5,11,5,0
