benchmark,exit,original_size,original_2q,final_size,final_2q,symb_applied,final_fidelity
grover_pigeon3,0,17438,92,8574,92,2,0.1057913729
portfolioqaoa_nativegates_ibm_tket_8,0,4464,168,888,161,3,0.1401550631
portfoliovqe_nativegates_ibm_tket_8,0,1912,84,476,84,5,0.3591166365
qaoa_10,0,205,85,150,42,4,0.6093727421
qaoa_5,0,177,42,136,30,9,0.6987776445
qaoa_n10_p4,0,730,120,369,116,2,0.2556436548
qaoa_n4_p4,0,292,48,149,36,2,0.6524540940
qaoa_n8_p4,0,584,96,317,88,2,0.3533104731
qaoa_nativegates_ibm_tket_8,0,952,32,163,32,11,0.6788341910
qe_qft_4,0,247,27,164,25,27,0.7350452610
qe_qft_5,0,383,38,277,36,12,0.6386603619
qft_10_quest,0,381,216,185,94,2,0.3370136313
qft_20,0,3290,380,3090,380,5,0.0090417385
qft_5,0,208,33,155,25,16,0.7377368041
qft_nativegates_ibm_tket_8,0,1814,68,374,68,12,0.4356216545
qftentangled_nativegates_ibm_tket_8,0,2019,75,456,74,9,0.4016295723
qpeexact_nativegates_ibm_tket_8,0,1747,64,415,64,10,0.4543830843
qpeinexact_nativegates_ibm_tket_8,0,1791,65,347,63,10,0.4639350345
qf21_n15,0,371,115,234,87,4,0.3627718927
vqe_4,0,509,74,456,74,5,0.4064003774
vqe_nativegates_ibm_tket_8,0,535,14,153,14,1,0.8344014396
vqe_uccsd_n4,0,556,88,185,56,11,0.5156598646
vqe_uccsd_n6,0,5522,1052,1836,676,12,0.0003519909
ham15-high,0,6778,2149,3545,1520,2,0.0000000217
misex1_241,0,6065,2100,4037,1600,1,0.0000000082
0410184_169,0,287,104,202,75,1,0.4159964356
4gt10-v1_81,0,188,66,123,45,14,0.5914828906
4gt12-v1_89,0,292,100,169,67,5,0.4584920823
4gt13_90,0,131,53,72,30,2,0.7056879240
4gt13_92,0,82,30,56,19,10,0.8008506698
4gt4-v0_72,0,326,113,216,83,5,0.3804226139
4gt4-v0_73,0,491,179,286,117,6,0.2565802113
4gt5_76,0,111,46,69,29,1,0.7138685147
4mod5-bdd_287,0,98,31,65,21,4,0.7819412844
4mod5-v0_18,0,93,31,54,19,12,0.8006255362
4mod7-v1_96,0,212,72,134,47,8,0.5776794148
C17_204,0,587,205,402,157,6,0.1608107808
TFIM_step_100_16,0,3840,240,2776,240,0,0.0448893817
TFIM_step_10_4,0,192,12,127,12,6,0.8567446313
XY_step_100_8,0,784,56,655,56,2,0.4848666170
adder_8,0,1060,409,773,313,4,0.0262040545
adder_9,0,194,98,94,39,5,0.6352611272
ae_nativegates_ibm_tket_8,0,1626,56,313,56,8,0.5046162446
aj-e11_165,0,191,69,132,47,2,0.5780043441
alu-bdd_288,0,108,38,77,30,7,0.7052912163
alu-v0_27,0,48,17,38,13,5,0.8591583524
alu-v1_28,0,49,18,37,13,2,0.8593999453
alu-v1_29,0,53,17,36,13,2,0.8591583524
alu-v2_30,0,636,223,435,168,7,0.1413042586
alu-v3_34,0,68,24,47,17,8,0.8204479765
alu-v4_37,0,49,18,35,14,4,0.8497905258
barenco_tof_3,0,70,24,48,19,4,0.8019772882
cm42a_207,0,2276,771,1476,573,5,0.0012651815
cm82a_208,0,838,283,560,216,6,0.0808521061
csum_mux_9,0,476,168,395,159,6,0.1578104125
cycle10_2_110,0,7562,2648,5199,2051,1,0.0000000000
dc1_220,0,2430,833,1578,621,5,0.0007253434
decod24-v3_45,0,206,64,138,51,7,0.5518065217
ex1_226,0,15,5,7,5,1,0.9434699652
f2_232,0,1530,525,1011,388,8,0.0109038586
gf2^10_mult,0,1423,609,1144,573,3,0.0013376105
gf2^4_mult,0,253,99,196,90,3,0.3528153975
gf2^8_mult,0,943,405,750,382,2,0.0120957390
ham15-med,0,1711,534,875,370,2,0.0135276083
ham7_104,0,396,149,271,101,5,0.3077605039
heisenberg_step_10_4,0,1232,180,736,114,5,0.2470225691
heisenberg_step_20_4,0,2462,360,1810,240,3,0.0512886779
heisenberg_step_30_4,0,3692,540,2704,360,3,0.0116415042
heisenberg_step_35_4,0,4307,630,3158,420,1,0.0055113187
heisenberg_step_45_4,0,5537,810,4054,540,2,0.0012562460
heisenberg_step_50_4,0,6152,900,4475,600,2,0.0006002755
hlf_10,0,119,56,93,37,3,0.6477031318
hwb4_49,0,289,107,196,73,5,0.4270157081
hwb5_53,0,1664,598,1125,448,4,0.0054484233
hwb6,0,415,116,236,94,1,0.3337135062
hwb6_56,0,8399,2952,5819,2323,1,0.0000000000
ising_model_13,0,919,120,470,114,10,0.2581708211
ising_model_16,0,1138,150,586,146,9,0.1768888006
majority_239,0,776,267,506,192,6,0.1068265206
miller_11,0,62,23,44,15,4,0.8395800925
adr4_197,0,4355,1498,2922,1165,2,0.0000013004
mod10_171,0,308,108,215,81,8,0.3889655100
mod10_176,0,226,78,130,49,7,0.5651506466
mod5_4,0,75,28,36,15,10,0.8402885544
mod_mult_55,0,147,48,121,41,3,0.6185201161
mod_red_21,0,338,105,244,84,2,0.3746911325
muliply_5,0,165,20,108,19,18,0.7939008756
multiply_10,0,310,163,187,86,3,0.3683210508
one-two-three-v0_97,0,362,128,239,86,5,0.3667709772
one-two-three-v1_99,0,168,59,112,41,12,0.6197386266
one-two-three-v2_100,0,89,32,67,24,5,0.7557910202
qcla_adder_10,0,621,233,459,194,6,0.1053356469
qcla_com_7,0,521,186,349,134,3,0.2098606671
qgan_nativegates_ibm_tket_8,0,700,28,169,28,4,0.7100639364
qiskit-alu-v0_26,0,108,38,73,27,4,0.7301046280
radd_250,0,4045,1405,2432,992,5,0.0000098205
rd32-v1_68,0,52,16,27,7,5,0.9209341423
rd32_270,0,116,36,46,18,23,0.8108180365
rd53_131,0,649,200,335,134,6,0.2103332299
rd53_133,0,724,256,494,187,6,0.1133546722
rd53_135,0,368,134,250,99,5,0.3160015634
rd53_138,0,164,60,106,36,9,0.6566869425
rd53_251,0,1639,564,1066,415,6,0.0079811277
rd73_140,0,286,104,185,66,3,0.4634160452
rd73_252,0,6737,2319,4405,1754,2,0.0000000014
z4_268,0,3881,1343,2607,1047,3,0.0000051415
sf_274,0,1025,336,649,241,7,0.0602543736
pm1_249,0,2276,771,1476,573,5,0.0012651815
sqrt8_260,0,3805,1314,2503,988,4,0.0000101374
sym6_145,0,4860,1701,3213,1291,4,0.0000003021
sym6_316,0,346,123,250,92,5,0.3426495225
tof_5,0,133,42,106,36,6,0.6565023359
wim_266,0,1270,427,752,290,10,0.0341198836
heisenberg_step_40_4,0,4922,720,3491,479,5,0.0026994539
cm152a_212,0,1545,532,1055,404,6,0.0090497545
rd53_130,0,1375,448,875,338,4,0.0195228684
sf_276,0,1010,336,656,243,9,0.0588151313
ex2_227,0,807,275,541,212,2,0.0847621427
ham15-low,0,637,236,382,199,1,0.0994369183
heisenberg_step_5_4,0,617,90,393,60,2,0.4791780924
alu-v2_31,0,567,198,334,126,7,0.2302605809
gf2^6_mult,0,539,221,420,206,2,0.0924804456
