benchmark,original_size,original_2q,optimized_size,optimized_2q
3_17_13,60,17,29,11
4gt11_84,26,9,17,8
4gt12-v0_86,371,116,165,76
4gt12-v0_87,367,112,171,76
4gt12-v0_88,290,86,139,60
4gt12-v1_89,356,100,158,70
4gt13-v1_93,116,30,51,21
4gt13_90,155,53,65,32
4gt13_91,151,49,64,31
4gt13_92,98,30,50,22
4gt4-v0_72,394,113,159,71
4gt4-v0_73,587,179,252,117
4gt4-v0_78,347,109,159,73
4gt4-v0_79,343,105,157,70
4gt4-v0_80,275,79,126,54
4gt5_76,131,46,66,32
4gt5_77,203,58,97,40
4mod5-bdd_287,126,31,56,22
4mod5-v0_18,117,31,34,13
4mod5-v0_19,59,16,26,12
4mod5-v0_20,36,10,17,7
4mod5-v1_22,37,11,18,8
4mod5-v1_23,109,32,38,18
C17_204,707,205,306,136
TFIM_step_100_4,312,12,100,12
TFIM_step_30_4,312,12,89,12
XY_step_100_4,288,12,88,12
adder_4,267,24,33,13
adder_8,900,409,685,305
adr4_197,5271,1498,2295,1031
aj-e11_165,231,69,114,47
alu-v0_27,60,17,33,14
alu-v1_28,61,18,33,14
alu-v1_29,69,17,39,15
alu-v2_31,683,198,313,133
alu-v2_32,251,72,121,50
barenco_tof_10,450,192,335,146
barenco_tof_3,58,24,48,20
barenco_tof_4,114,48,89,38
barenco_tof_5,170,72,130,56
cm152a_212,1869,532,789,342
cm42a_207,2776,771,1167,494
cm82a_208,1026,283,418,182
cnt3-5_179,255,85,148,63
cnt3-5_180,725,215,366,153
con1_216,1490,415,650,281
csla_mux_3,170,80,146,68
csum_mux_9,420,168,310,125
cycle10_2_110,9074,2648,4135,1819
dc1_220,2946,833,1226,535
decod24-enable_126,506,149,239,101
decod24-v0_38,83,23,36,14
decod24-v1_41,141,38,69,28
decod24-v2_43,100,22,44,15
ex2_227,983,275,419,182
ex3_229,627,175,283,121
f2_232,1854,525,828,353
gf2^10_mult,1347,609,1098,582
gf2^4_mult,225,99,180,89
gf2^5_mult,347,154,274,138
ham15-low,713,236,344,193
ham15-med,1907,534,740,352
ham3_102,28,11,16,7
ham7_104,472,149,232,105
heisenberg_step_10_4,1472,180,289,82
heisenberg_step_20_4,2942,360,589,170
heisenberg_step_30_4,4412,540,850,242
hlf_5,95,14,13,6
hwb4_49,345,107,158,70
hwb6,491,116,199,88
ising_model_13,1205,120,378,96
ising_model_16,1490,150,468,120
miller_11,74,23,42,17
mini-alu_167,432,126,206,83
mini_alu_305,301,77,133,54
mod10_171,372,108,174,71
mod10_176,274,78,125,53
mod5_4,63,28,42,19
mod5adder_127,907,239,410,170
mod5d1_63,30,13,20,11
mod5d2_64,85,25,39,16
mod5mils_65,59,16,27,12
mod8-10_177,664,196,311,135
mod8-10_178,518,152,254,108
mod_mult_55,119,48,103,44
mod_red_21,278,105,226,90
muliply_5,281,20,33,10
one-two-three-v0_97,434,128,200,82
one-two-three-v0_98,218,65,99,38
one-two-three-v1_99,204,59,99,42
one-two-three-v2_100,109,32,59,23
qaoa_5,285,42,65,22
qaoa_n10_p4,910,120,342,112
qaoa_n14_p4,1274,168,482,160
qaoa_n20_p4,1820,240,701,232
qaoa_n4_p4,364,48,123,33
qaoa_n6_p4,546,72,213,64
qaoa_n8_p4,728,96,271,87
qaoa_nativegates_ibm_tket_8,1364,32,261,32
qcla_adder_10,521,233,416,184
qcla_com_7,443,186,331,142
qcla_mod_7,884,382,704,313
qe_qft_4,423,27,24,11
qe_qft_5,659,38,24,8
qft_20,5610,380,600,347
qft_5,348,33,29,18
qft_nativegates_ibm_tket_8,2574,68,541,68
qftentangled_nativegates_ibm_tket_8,2853,75,578,75
qgan_nativegates_ibm_tket_8,928,28,237,28
qiskit-3_17_13,60,17,29,11
qiskit-alu-v0_26,132,38,63,28
radd_250,4877,1405,2102,953
rc_adder_6,200,93,179,79
rd32-v0_66,50,16,19,8
rd32-v1_68,68,16,23,7
rd32_270,148,36,38,16
rd53_130,1707,448,695,298
rd53_131,829,200,310,134
rd53_133,868,256,355,159
rd53_135,440,134,200,90
rd53_138,196,60,96,42
rd53_251,1987,564,834,369
rd53_311,459,124,205,88
rd73_140,342,104,169,75
rd84_142,511,154,267,117
sys6-v0_111,319,98,167,73
tof_10,255,102,216,86
tof_3,45,18,40,16
tof_4,75,30,65,26
tof_5,105,42,90,36
vbe_adder_3,150,70,89,39
vqe_4,857,74,143,35
vqe_nativegates_ibm_tket_8,703,14,114,14
wim_266,1554,427,647,277
z4_268,4689,1343,2037,907
heisenberg_step_50_4,7352,900,1650,404
heisenberg_step_45_4,6617,810,1416,370
heisenberg_step_40_4,5882,720,1364,324
heisenberg_step_35_4,5147,630,1074,288
heisenberg_step_25_4,3677,450,799,207
heisenberg_step_15_4,2207,270,451,117
