time_s,total_2q
0.000,43079
0.000,43080
0.000,43081
0.000,43083
0.000,43084
0.000,43086
0.000,43088
0.000,43089
0.000,43088
0.000,43087
0.000,43089
0.000,43091
0.000,43093
0.000,43095
0.000,43097
0.001,43096
0.001,43095
0.004,43094
0.009,43093
0.011,43092
0.013,43091
0.017,43090
0.018,43089
0.027,43088
0.028,43087
0.035,43086
0.035,43085
0.077,43084
0.078,43083
0.121,43082
0.127,43081
0.127,43080
0.151,43079
0.159,43077
0.174,43076
0.209,43075
0.342,43074
0.484,43073
0.628,43072
0.680,43070
0.763,43069
1.231,43068
1.887,43066
2.872,43065
2.941,43064
3.360,43063
3.860,43062
4.475,43061
5.380,43059
5.566,43057
6.486,43056
6.788,43055
7.055,43054
7.196,43052
7.268,43051
7.499,43049
7.907,43047
7.959,43046
9.228,43045
10.570,43044
11.122,43042
11.474,43041
11.673,43040
11.733,43039
12.838,43037
12.864,43036
14.292,43034
15.721,43032
16.561,43031
18.133,43030
18.947,43028
19.294,43027
20.527,43026
20.602,43025
21.193,43024
21.793,43023
24.692,43022
24.793,43021
27.018,43020
27.636,43019
28.103,43018
29.514,43016
29.739,43015
29.763,43014
32.439,43013
33.458,43012
33.756,43011
34.183,43010
34.299,43008
34.351,43007
35.664,43006
37.131,43005
37.202,43004
38.193,43002
40.235,43001
40.432,43000
40.555,42999
41.423,42998
41.776,42997
42.155,42996
42.646,42995
43.793,42993
45.081,42992
45.170,42991
46.817,42989
48.401,42988
49.672,42987
49.951,42985
50.686,42984
50.992,42983
53.100,42981
54.123,42980
55.347,42979
55.580,42978
55.870,42977
55.952,42976
57.277,42975
58.121,42974
58.828,42973
60.228,42972
60.445,42971
62.050,42970
62.224,42969
63.225,42967
64.246,42966
64.256,42965
64.785,42964
65.749,42963
65.913,42962
66.629,42960
73.962,42958
74.967,42957
76.609,42956
76.834,42955
77.685,42954
78.641,42953
80.948,42952
82.363,42950
84.656,42949
85.571,42947
87.533,42946
87.623,42945
89.031,42944
90.378,42943
93.961,42942
94.507,42941
94.545,42939
96.921,42938
97.154,42936
100.424,42935
101.494,42933
106.731,42932
111.145,42931
114.644,42929
115.028,42928
116.296,42926
116.557,42924
117.971,42923
118.704,42922
119.676,42921
120.011,42920
120.794,42919
121.307,42918
121.943,42917
123.994,42915
129.019,42914
129.978,42913
129.980,42911
133.776,42909
133.806,42908
135.561,42907
135.658,42906
136.801,42904
137.864,42902
138.991,42901
139.529,42899
140.848,42898
141.093,42897
142.160,42896
143.366,42895
143.842,42894
145.001,42893
146.085,42892
147.808,42891
151.569,42889
152.661,42888
153.760,42887
156.244,42885
157.020,42884
158.273,42883
158.522,42882
160.822,42881
161.893,42879
163.977,42878
165.623,42877
166.098,42876
170.809,42875
173.384,42874
173.879,42873
174.044,42872
174.459,42871
175.924,42870
178.337,42868
179.143,42867
179.398,42865
179.566,42864
180.796,42862
182.756,42861
185.992,42860
186.530,42859
187.819,42857
188.388,42856
189.691,42855
189.986,42854
190.083,42853
192.539,42852
193.748,42851
194.087,42850
196.389,42849
198.509,42848
199.679,42846
204.297,42844
204.470,42843
205.417,42842
212.342,42841
212.935,42840
218.349,42839
218.604,42837
219.837,42835
221.378,42833
223.984,42832
225.934,42831
227.970,42830
228.325,42829
228.746,42828
229.807,42827
230.383,42826
232.426,42825
234.327,42824
234.776,42822
237.451,42821
238.012,42820
238.247,42819
239.944,42818
241.092,42817
242.029,42816
247.043,42815
247.666,42814
249.660,42812
252.029,42810
254.506,42808
258.027,42806
258.550,42804
262.382,42802
262.450,42801
262.784,42800
271.780,42798
274.163,42796
276.793,42795
278.495,42793
278.998,42792
285.664,42791
285.889,42790
289.160,42789
293.109,42788
296.048,42786
296.057,42784
296.828,42782
300.506,42780
306.389,42779
307.726,42778
308.609,42777
312.542,42776
313.426,42775
317.048,42773
325.490,42772
328.335,42771
330.601,42769
331.091,42768
332.521,42767
332.701,42766
333.270,42765
340.435,42764
344.954,42762
345.131,42761
345.971,42760
345.972,42759
346.481,42758
346.665,42757
347.784,42755
359.317,42754
359.843,42753
359.917,42752
363.477,42751
364.128,42750
366.148,42749
375.840,42747
379.643,42746
383.244,42745
388.155,42743
388.541,42742
392.489,42741
398.566,42740
401.391,42739
403.755,42738
407.908,42737
409.087,42736
411.359,42735
412.153,42734
412.170,42732
413.093,42730
417.292,42729
417.597,42728
422.827,42727
423.476,42725
430.332,42723
434.735,42721
445.039,42720
450.424,42719
450.826,42718
454.569,42717
457.313,42716
459.481,42714
461.317,42713
463.451,42712
466.209,42711
469.966,42710
471.353,42708
478.570,42707
485.672,42706
490.204,42705
490.248,42704
490.862,42703
492.820,42702
497.698,42701
501.738,42700
510.883,42699
510.933,42698
511.055,42697
512.346,42696
514.016,42694
516.291,42693
518.536,42692
520.876,42690
525.818,42689
533.795,42688
537.558,42687
540.067,42686
543.535,42685
547.888,42683
553.917,42682
555.073,42681
562.190,42679
565.478,42677
570.864,42676
581.816,42675
582.322,42674
587.566,42673
589.269,42672
594.209,42671
604.430,42670
605.248,42668
607.053,42667
611.711,42665
618.406,42663
620.172,42662
630.809,42660
644.043,42659
644.307,42658
648.997,42657
653.920,42655
662.543,42654
665.325,42653
667.189,42652
669.154,42651
669.617,42650
670.440,42648
671.177,42647
687.161,42645
690.171,42644
704.927,42643
705.056,42641
720.146,42640
723.854,42639
725.739,42638
730.717,42637
730.890,42636
740.964,42635
743.379,42634
747.000,42633
754.376,42631
761.686,42630
771.556,42629
774.638,42628
794.455,42627
795.549,42625
797.504,42624
814.733,42622
834.849,42620
837.404,42618
839.133,42617
850.033,42615
850.063,42614
858.218,42613
863.693,42612
872.298,42610
875.303,42609
883.384,42608
883.469,42607
893.878,42606
914.376,42604
914.456,42603
915.710,42601
928.267,42600
936.056,42599
940.166,42598
960.538,42597
961.619,42595
961.903,42594
966.111,42593
966.393,42591
970.420,42589
970.910,42588
982.693,42586
1004.582,42585
1013.609,42584
1013.763,42582
1016.669,42581
1051.910,42580
1059.710,42578
1060.296,42576
1069.423,42574
1074.615,42573
1096.613,42571
1103.389,42569
1122.613,42567
1124.466,42565
1137.391,42564
1147.430,42563
1147.972,42562
1157.795,42561
1169.346,42560
1189.065,42559
1194.001,42557
1200.842,42556
1201.741,42555
1216.578,42553
1232.316,42552
1235.501,42550
1242.898,42548
1262.422,42547
1293.044,42546
1297.407,42544
1307.168,42542
1307.849,42541
1308.126,42540
1311.677,42538
1343.529,42537
1348.938,42536
1349.588,42534
1350.134,42533
1352.424,42532
1354.095,42530
1358.868,42529
1365.935,42528
1369.570,42527
1375.042,42525
1377.077,42524
1388.678,42523
1396.147,42522
1407.703,42521
1410.605,42519
1412.210,42517
1425.376,42515
1439.334,42514
1454.651,42513
1454.743,42512
1455.962,42510
1472.103,42508
1497.863,42507
1502.809,42506
1505.470,42504
1510.987,42502
1524.246,42501
1527.743,42500
1551.899,42499
1558.720,42498
1578.611,42497
1621.057,42496
1633.372,42495
1641.371,42493
1644.368,42492
1656.730,42490
1660.319,42489
1671.249,42488
1678.297,42487
1683.758,42486
1694.717,42485
1704.571,42484
1712.816,42483
1721.606,42481
1722.116,42480
1738.282,42479
1759.884,42478
1773.920,42477
1784.997,42476
1785.034,42475
1791.768,42474
1793.317,42473
1796.556,42472
1798.390,42470
1803.822,42469
1814.108,42467
1820.210,42466
1821.825,42465
1825.063,42464
1828.682,42463
1848.669,42461
1850.020,42460
1859.067,42458
1906.236,42457
1934.479,42456
1939.386,42455
1941.881,42454
1944.170,42452
1956.743,42451
1967.371,42450
1972.404,42449
1990.750,42447
2020.552,42446
2021.739,42445
2026.577,42444
2039.415,42443
2067.325,42442
2072.892,42441
2084.928,42440
2094.846,42438
2095.246,42437
2139.302,42436
2159.391,42435
2161.453,42434
2178.413,42433
2206.171,42432
2207.451,42430
2207.549,42429
2216.095,42428
2225.109,42427
2227.118,42425
2234.063,42423
2236.200,42422
2242.353,42421
2247.098,42420
2251.900,42419
2254.503,42418
2257.553,42416
2269.319,42415
2280.510,42414
2287.534,42413
2290.256,42412
2292.849,42411
2308.802,42409
2312.731,42408
2316.183,42407
2321.765,42406
2324.806,42405
2329.350,42404
2334.277,42403
2339.488,42402
2342.924,42400
2343.035,42399
2343.645,42398
2346.142,42396
2350.083,42394
2360.299,42393
2379.922,42392
2394.776,42391
2398.234,42389
2398.235,42388
2401.584,42387
2414.044,42385
2425.230,42384
2428.373,42382
2439.041,42381
2442.300,42380
2460.118,42379
2475.725,42378
2487.391,42377
2487.761,42376
2488.435,42375
2496.776,42374
2502.469,42373
2522.456,42372
2543.489,42371
2554.862,42369
2559.349,42368
2561.475,42367
2572.562,42365
2581.821,42364
2587.693,42363
2591.303,42362
2592.763,42361
2598.143,42360
2611.045,42359
2631.316,42358
2643.416,42357
2668.631,42356
2673.180,42354
2710.608,42353
2751.390,42351
2752.466,42349
2759.298,42348
2778.041,42347
2796.562,42346
2822.146,42345
2824.216,42344
2867.024,42342
2873.247,42340
2886.111,42339
2893.256,42338
2896.332,42337
2905.521,42335
2910.440,42333
2933.860,42332
2935.138,42331
2937.612,42330
2939.532,42329
2944.837,42328
2956.175,42327
2961.581,42326
2970.917,42324
2984.411,42323
2987.425,42322
3028.236,42321
3032.114,42320
3032.652,42319
3043.961,42317
3054.249,42315
3065.344,42314
3104.158,42312
3119.887,42311
3145.141,42310
3178.655,42309
3200.289,42307
3200.310,42306
3200.956,42305
3203.705,42304
3204.751,42303
3205.433,42302
3206.063,42301
3207.419,42300
3212.239,42298
3217.233,42297
3221.750,42296
3235.559,42294
3263.385,42293
3264.269,42292
3279.138,42290
3348.792,42289
3357.176,42287
3414.916,42286
3426.848,42285
3435.892,42283
3446.500,42282
3488.231,42281
3495.894,42280
3517.114,42278
3537.757,42277
3586.512,42276
3591.687,42275
