benchmark,total_size,total_2q,original_size,original_2q,fidelity
grover_pigeon3.qasm,17436,92,17438,92,0.10819786019129252
portfolioqaoa_nativegates_ibm_tket_8.qasm,4266,168,4464,168,0.10986796142449294
portfoliovqe_nativegates_ibm_tket_8.qasm,1853,84,1912,84,0.34808222299803165
qaoa_10.qasm,157,59,205,85,0.5023539957902513
qaoa_5.qasm,95,30,177,42,0.7027180470732873
qaoa_n10_p4.qasm,0,0,730,120,1.0
qaoa_n4_p4.qasm,156,44,292,48,0.5961566058853908
qaoa_n8_p4.qasm,327,95,584,96,0.3278550871883303
qaoa_nativegates_ibm_tket_8.qasm,695,32,952,32,0.6596430249306288
qe_qft_4.qasm,114,27,247,27,0.7260106587105265
qe_qft_5.qasm,168,34,383,38,0.6650458249858955
qft_10_quest.qasm,266,131,381,216,0.22031949980032742
qft_20.qasm,3252,380,3290,380,0.009092724821411782
qft_5.qasm,49,21,208,33,0.7839224291743616
qft_nativegates_ibm_tket_8.qasm,1673,68,1814,68,0.4118019638284762
qftentangled_nativegates_ibm_tket_8.qasm,1887,75,2019,75,0.3757400724618103
qpeexact_nativegates_ibm_tket_8.qasm,1587,64,1747,64,0.4339072401412749
qpeinexact_nativegates_ibm_tket_8.qasm,1632,65,1791,65,0.4282118912850153
qf21_n15.qasm,311,114,371,115,0.2663549896718291
vqe_4.qasm,300,74,509,74,0.4150610640288247
vqe_nativegates_ibm_tket_8.qasm,93,14,535,14,0.8400508397725289
vqe_uccsd_n4.qasm,234,74,556,88,0.41459453597168483
vqe_uccsd_n6.qasm,4968,1052,5522,1052,3.438422712154218e-06
ham15-high.qasm,6774,2149,6778,2149,1.5817294995798442e-11
misex1_241.qasm,6050,2100,6065,2100,2.5818070562709828e-11
0410184_169.qasm,235,95,287,104,0.3310042002632354
4gt10-v1_81.qasm,150,59,188,66,0.5043352622263615
4gt12-v1_89.qasm,230,95,292,100,0.3328707307748631
4gt13_90.qasm,94,42,131,53,0.6152258880027762
4gt13_92.qasm,60,25,82,30,0.7483914494317533
4gt4-v0_72.qasm,252,102,326,113,0.3070695941457431
4gt4-v0_73.qasm,398,176,491,179,0.13057194101950237
4gt5_76.qasm,80,36,111,46,0.6592768926564692
4mod5-bdd_287.qasm,64,26,98,31,0.7393993498997241
4mod5-v0_18.qasm,43,16,93,31,0.8301922895461414
4mod7-v1_96.qasm,156,61,212,72,0.49311982243380476
C17_204.qasm,474,198,587,205,0.10104315129448237
TFIM_step_100_16.qasm,3706,240,3840,240,0.044889381673838
TFIM_step_10_4.qasm,70,12,192,12,0.8649738332064206
XY_step_100_8.qasm,275,56,784,56,0.5126242186239043
adder_8.qasm,1004,409,1060,409,0.008739762141632336
adder_9.qasm,148,67,194,98,0.4599122716039207
ae_nativegates_ibm_tket_8.qasm,1485,56,1626,56,0.47742647238100416
aj-e11_165.qasm,153,61,191,69,0.4928426115193687
alu-bdd_288.qasm,71,30,108,38,0.706482008749294
alu-v0_27.qasm,36,15,48,17,0.8402885544391718
alu-v1_28.qasm,35,14,49,18,0.8500294845456662
alu-v1_29.qasm,38,15,53,17,0.8398161800831451
alu-v2_30.qasm,531,222,636,223,0.07643194750530428
alu-v3_34.qasm,52,21,68,24,0.783702054335428
alu-v4_37.qasm,39,16,49,18,0.8306592507186613
barenco_tof_3.qasm,58,22,70,24,0.7747212047597479
cm42a_207.qasm,2247,771,2276,771,0.00012888451988609772
cm82a_208.qasm,713,283,838,283,0.037637161287705063
csum_mux_9.qasm,462,168,476,168,0.14198126448753623
cycle10_2_110.qasm,7559,2646,7562,2648,4.602821516367822e-14
dc1_220.qasm,2406,833,2430,833,6.296866972884409e-05
decod24-v3_45.qasm,153,57,206,64,0.5155158202263153
ex1_226.qasm,9,5,15,5,0.9429395866194296
f2_232.qasm,1489,525,1530,525,0.0022557252914996067
gf2^10_mult.qasm,1404,609,1423,609,0.0008850848000261954
gf2^4_mult.qasm,244,99,253,99,0.31823054466383566
gf2^8_mult.qasm,928,405,943,405,0.009313057963260785
ham15-med.qasm,1653,534,1711,534,0.0020657331713983575
ham7_104.qasm,341,142,396,149,0.19299669392189278
heisenberg_step_10_4.qasm,1078,120,1232,180,0.22806748998583293
heisenberg_step_20_4.qasm,2353,314,2462,360,0.021894953270024182
heisenberg_step_30_4.qasm,3583,524,3692,540,0.0017588236810833012
heisenberg_step_35_4.qasm,4187,618,4307,630,0.0005658774763301516
heisenberg_step_45_4.qasm,5393,804,5537,810,5.9942340921571006e-05
heisenberg_step_50_4.qasm,5995,896,6152,900,1.9735352466554315e-05
hlf_10.qasm,94,43,119,56,0.6056161963195508
hwb4_49.qasm,232,99,289,107,0.3178728539754258
hwb5_53.qasm,1628,598,1664,598,0.0009719354609612512
hwb6.qasm,281,114,415,116,0.2659060419296897
hwb6_56.qasm,8397,2952,8399,2952,1.322256263621402e-15
ising_model_13.qasm,788,120,919,120,0.2409205819454676
ising_model_16.qasm,1039,150,1138,150,0.16891887051132412
majority_239.qasm,643,267,776,267,0.04543756050217769
miller_11.qasm,51,20,62,23,0.7927870131811338
adr4_197.qasm,4336,1498,4355,1498,2.7910896539596814e-08
mod10_171.qasm,248,96,308,108,0.3285015597622208
mod10_176.qasm,173,69,226,78,0.44943191956573403
mod5_4.qasm,69,27,75,28,0.7311317224755078
mod_mult_55.qasm,129,46,147,48,0.5851981712109009
mod_red_21.qasm,298,105,338,105,0.29472146574060176
muliply_5.qasm,66,17,165,20,0.8172248704308174
multiply_10.qasm,232,111,310,163,0.27665767694795396
one-two-three-v0_97.qasm,301,123,362,128,0.2405157879960621
one-two-three-v1_99.qasm,130,54,168,59,0.5351551092064439
one-two-three-v2_100.qasm,66,24,89,32,0.7562161325845637
qcla_adder_10.qasm,582,228,621,233,0.07122478502329073
qcla_com_7.qasm,487,186,521,186,0.11551003180209672
qgan_nativegates_ibm_tket_8.qasm,132,28,700,28,0.7110628380925441
qiskit-alu-v0_26.qasm,73,31,108,38,0.6983860638510992
radd_250.qasm,4033,1405,4045,1405,8.24930989951563e-08
rd32-v1_68.qasm,21,8,52,16,0.9114050969347612
rd32_270.qasm,75,30,116,36,0.705687923956693
rd53_131.qasm,495,195,649,200,0.10389460181585679
rd53_133.qasm,568,248,724,256,0.056816436238380424
rd53_135.qasm,302,128,368,134,0.22730254603008482
rd53_138.qasm,120,47,164,60,0.5797947253356618
rd53_251.qasm,1598,564,1639,564,0.0014341837767694466
rd73_140.qasm,220,91,286,104,0.34838028270712956
rd73_252.qasm,6713,2319,6737,2319,2.021610300026014e-12
z4_268.qasm,3855,1342,3881,1343,1.7128544206788474e-07
