benchmark,optimized_2q
xor5_254,5
4_49_16,84
sys6-v0_111,72
adder_8,341
urf5_280,23764
square_root_7,3089
cycle10_2_110,2648
rd84_253,5960
ham15_107,3858
inc_237,4636
heisenberg_step_30_4,540
rd53_130,438
alu-v2_31,169
4gt5_77,44
qaoa_5,26
sym9_148,9408
adder_4,19
barenco_tof_5,60
radd_250,1403
mod10_176,59
C17_204,179
0410184_169,93
con1_216,383
rd53_311,109
TFIM_step_30_4,12
4gt13_91,33
one-two-three-v0_98,47
4gt13_90,33
gf2^4_mult,98
vqe_uccsd_n4,82
dc2_222,4131
mod_mult_55,42
qaoa_n10_p4,120
ex3_229,148
ham3_102,7
adr4_197,1496
barenco_tof_4,40
one-two-three-v1_99,46
mini-alu_167,96
alu-v2_30,185
4gt5_76,33
TFIM_step_20_4,12
rd53_131,175
TFIM_step_100_16,240
csum_mux_9,155
gf2^9_mult,494
vqe_uccsd_n8,5488
hlf_5,11
mini_alu_305,63
4mod7-v0_94,46
z4_268,1339
heisenberg_step_20_4,358
cm82a_208,257
adder_9,39
rc_adder_6,71
sao2_257,16864
barenco_tof_3,21
aj-e11_165,58
grover_pigeon3,92
qiskit-3_17_13,13
qpeinexact_nativegates_ibm_tket_8,65
misex1_241,2100
alu-v0_26,29
portfolioqaoa_nativegates_ibm_tket_8,168
sym6_316,106
decod24-bdd_294,25
miller_11,18
barenco_tof_10,166
qaoa_n8_p4,90
sqn_258,4459
rd32-v1_68,8
qft_nativegates_ibm_tket_8,68
dc1_220,821
hwb6_56,2950
portfoliovqe_nativegates_ibm_tket_8,84
TFIM_step_90_4,12
decod24-enable_126,130
one-two-three-v2_100,24
mod5adder_127,220
qcla_com_7,145
qiskit-alu-v0_26,29
qaoa_10,53
one-two-three-v3_101,26
mod5_4,21
4mod5-v0_20,8
heisenberg_step_45_4,810
hlf_10,33
gf2^5_mult,153
mod8-10_177,171
ising_model_13,118
sf_276,316
mlp4_245,8232
qcla_mod_7,330
heisenberg_step_10_4,120
TFIM_step_80_4,12
cm85a_209,4986
tof_10,86
cm42a_207,765
4gt12-v1_89,76
alu-v0_27,15
multiply_10,86
pm1_249,765
qft_10_quest,135
mod5mils_65,14
9symml_195,15232
mod10_171,94
TFIM_step_10_4,12
ex1_226,5
ex-1_166,8
decod24-v1_41,31
4gt12-v0_88,68
qft_5,25
ham15-high,2149
rd53_138,41
TFIM_step_40_4,12
4gt4-v0_79,79
max46_240,11844
alu-v3_34,21
csla_mux_3,71
qe_qft_5,34
3_17_13,13
decod24-v3_45,48
4gt4-v0_80,65
mod8-10_178,136
hwb7_59,10681
hwb4_49,90
root_255,7493
4mod5-bdd_287,23
mod_red_21,93
4gt11_84,8
decod24-v0_38,17
heisenberg_step_40_4,720
vbe_adder_3,48
heisenberg_step_5_4,32
ising_model_10,84
4mod5-v0_19,14
qaoa_n20_p4,240
qaoa_n30_p4,360
4gt4-v1_74,101
heisenberg_step_15_4,252
4mod5-v1_22,8
4gt12-v0_87,83
alu-v1_29,15
heisenberg_step_50_4,900
4gt12-v0_86,86
alu-v1_28,14
4mod5-v1_23,25
sf_274,316
life_238,9800
TFIM_step_100_8,56
4mod5-v0_18,18
majority_239,237
gf2^6_mult,220
hwb5_53,582
XY_step_100_4,12
ham7_104,129
urf2_152,35210
rd53_135,108
heisenberg_step_50_8,2100
TFIM_step_50_4,12
TFIM_step_100_32,992
rd32_270,27
cm152a_212,512
4gt10-v1_81,50
qft_10,0
rd32-v0_66,8
TFIM_step_100_4,12
tof_3,16
qaoa_n4_p4,30
rd53_251,544
qaoa_nativegates_ibm_tket_8,32
qe_qft_4,27
qpeexact_nativegates_ibm_tket_8,64
alu-v3_35,16
squar5_261,865
4gt4-v0_78,80
vqe_4,72
XY_step_100_8,56
urf2_277,10066
4gt13-v1_93,22
4gt4-v0_73,146
one-two-three-v0_97,110
rd73_252,2319
rd84_142,126
sym9_193,15232
4mod7-v1_96,50
ising_model_16,150
heisenberg_step_25_4,446
4mod5-v1_24,14
f2_232,499
mod5d1_63,11
sym9_146,124
dist_223,16624
alu-v4_36,36
sym10_262,28084
TFIM_step_70_4,12
tof_4,26
vqe_nativegates_ibm_tket_8,14
alu-bdd_288,30
graycode6_47,5
alu-v2_33,15
qaoa_n6_p4,65
alu-v2_32,55
qaoa_n14_p4,168
ham15-med,496
4gt11_83,11
qftentangled_nativegates_ibm_tket_8,75
TFIM_step_60_4,12
muliply_5,18
hwb8_113,30372
qft_16,0
hwb6,102
qcla_adder_10,202
decod24-v2_43,18
tof_5,36
cnt3-5_180,186
clip_206,14772
sqrt8_260,1312
vqe_uccsd_n6,1052
4gt13_92,24
cnt3-5_179,67
alu-v4_37,16
gf2^7_mult,299
urf1_278,26692
gf2^10_mult,608
shor_15_7,14858
ex2_227,256
rd73_140,78
mod5d2_64,20
heisenberg_step_35_4,630
wim_266,396
co14_215,7840
sym6_145,1701
ham15-low,204
ae_nativegates_ibm_tket_8,56
qgan_nativegates_ibm_tket_8,28
qft_20,380
rd53_133,226
4gt4-v0_72,90
