time_s,total_2q
0.000,43079
1.692,43077
2.123,43075
2.169,43074
2.276,43072
2.379,43067
2.708,43060
2.872,43056
3.566,43054
3.977,43039
4.016,43037
4.435,43033
4.544,43031
4.613,43027
4.750,43026
4.837,43023
5.060,43022
5.348,43021
5.355,43019
5.480,43017
5.628,42987
5.953,42985
6.082,42984
6.267,42983
6.475,42981
6.500,42971
7.201,42967
7.298,42966
7.655,42945
8.296,42943
8.583,42941
8.708,42940
9.251,42939
9.362,42938
9.635,42937
9.812,42935
10.121,42934
10.214,42932
10.222,42930
11.071,42929
11.103,42925
11.112,42924
11.233,42922
11.302,42921
11.593,42917
11.855,42916
11.943,42915
12.037,42913
12.066,42901
12.317,42899
12.630,42895
13.273,42894
13.554,42892
13.712,42888
13.798,42887
14.165,42884
14.287,42882
14.361,42881
14.896,42875
14.973,42873
15.135,42871
15.254,42868
15.791,42867
15.911,42865
15.927,42862
16.162,42860
16.968,42859
17.053,42858
17.148,42856
17.503,42855
17.624,42854
17.796,42853
17.891,42852
18.320,42851
18.738,42850
18.825,42790
18.910,42788
20.403,42787
21.292,42786
21.305,42785
21.317,42775
21.520,42774
21.847,42773
22.783,42772
23.062,42771
23.221,42769
23.224,42766
23.628,42765
23.709,42759
24.002,42757
24.535,42754
24.969,42753
25.843,42752
26.095,42751
26.489,42750
26.554,42748
26.616,42745
26.736,42742
26.980,42741
29.024,42740
29.211,42739
29.733,42738
29.971,42733
30.460,42731
30.485,42729
30.767,42726
30.848,42725
31.091,42721
31.224,42716
31.406,42715
31.925,42713
31.980,42712
32.372,42711
32.795,42710
33.570,42709
33.873,42708
34.446,42702
34.572,42696
34.673,42695
34.821,42694
35.070,42690
35.090,42689
36.949,42685
37.164,42683
38.063,42681
38.095,42680
39.300,42679
39.382,42676
39.468,42675
39.611,42673
40.238,42671
40.377,42669
41.075,42668
41.416,42667
41.776,42666
42.191,42665
43.605,42664
44.506,42661
44.637,42660
44.672,42659
44.773,42658
45.042,42657
46.313,42651
46.560,42648
48.562,42636
49.171,42633
49.485,42631
49.935,42624
50.675,42623
50.877,42619
51.073,42618
51.528,42614
52.007,42613
52.087,42607
52.775,42606
54.648,42605
54.774,42601
55.163,42599
55.263,42598
56.170,42597
57.196,42595
57.709,42594
58.872,42592
59.222,42590
60.635,42584
61.004,42583
62.597,42582
63.714,42577
64.064,42575
64.659,42574
64.691,42573
65.698,42571
65.945,42570
66.087,42569
66.148,42568
66.691,42567
68.597,42566
68.760,42565
69.142,42564
69.653,42558
70.063,42557
70.200,42556
71.732,42555
72.202,42554
73.170,42546
73.353,42545
74.688,42537
75.433,42536
76.362,42534
76.488,42530
76.605,42528
77.018,42526
78.282,42521
79.470,42516
79.605,42502
80.467,42498
81.684,42490
82.605,42487
82.609,42483
84.891,42481
88.054,42475
88.547,42468
89.148,42465
90.040,42464
90.949,42463
91.702,42461
93.207,42451
96.449,42449
96.541,42448
96.585,42447
96.833,42445
97.678,42443
99.222,42441
100.640,42438
101.193,42437
103.742,42435
105.243,42429
105.462,42419
106.407,42418
107.195,42416
107.777,42413
110.219,42410
112.461,42409
112.741,42407
112.820,42396
113.329,42389
115.204,42388
118.246,42384
118.953,42383
119.040,42382
120.922,42381
126.356,42380
128.025,42379
128.080,42375
128.792,42374
129.947,42371
129.986,42161
131.087,42160
131.844,42145
132.143,42144
133.361,42143
135.531,42141
136.202,42140
136.975,42139
138.332,42137
138.826,42132
139.374,42131
141.166,42129
143.666,42127
143.927,42125
145.007,42124
145.367,42103
147.333,42101
147.368,42100
147.555,42099
148.510,42098
150.725,42096
151.336,42094
151.368,42093
153.419,42090
153.830,42089
157.459,42088
158.034,42087
158.917,42086
158.955,42085
160.416,42084
160.616,42082
167.824,42078
172.612,42077
173.285,42075
173.294,42070
174.534,42069
176.821,42067
178.331,42058
181.826,42054
184.764,42053
184.821,42052
186.638,42051
189.424,42050
191.576,42045
192.502,42043
192.713,42041
193.688,42040
193.935,42039
194.689,41799
196.297,41791
199.780,41785
199.950,41771
199.957,41770
203.696,41768
204.917,41767
207.460,41766
209.537,41765
211.502,41757
212.280,41756
212.875,41754
213.088,41753
214.300,41751
214.370,41747
217.141,41740
217.242,41738
221.401,41737
225.383,41736
225.496,41466
227.071,41465
233.985,41456
234.881,41455
235.343,41449
240.133,41447
242.564,41446
245.025,41445
245.637,41444
246.014,41443
246.070,41441
248.019,41432
248.035,41431
248.948,41429
254.537,41424
257.148,41420
261.002,41412
261.249,41408
267.128,41406
269.820,41106
274.397,41104
279.937,41103
282.845,41102
286.377,41074
289.969,41073
293.712,41069
295.461,41063
296.809,41062
298.201,41058
299.531,41057
300.161,41053
301.743,41052
303.515,41048
313.582,41047
316.819,41046
317.369,41045
320.983,41044
321.008,41041
325.943,41039
326.879,41038
328.683,41037
329.711,41034
333.201,41032
335.294,41030
340.697,41029
340.849,41028
343.995,41027
346.661,41022
349.229,41020
355.667,41019
365.196,41013
381.057,41012
382.595,41011
386.061,41010
395.428,41008
397.858,41006
401.283,41002
404.740,40999
405.580,40995
409.902,40994
409.910,40970
415.175,40969
421.955,40967
426.671,40966
427.968,40963
434.899,40962
450.060,40960
451.235,40959
451.911,40958
452.460,40957
454.037,40956
467.784,40955
468.239,40948
472.954,40947
477.510,40946
491.498,40944
491.554,40943
496.089,40941
510.979,40937
513.464,40936
517.330,40935
537.843,40934
539.785,40933
556.235,40932
558.903,40931
568.068,40920
573.549,40918
579.566,40917
581.249,40916
585.699,40914
588.956,40911
590.024,40908
590.240,40906
592.460,40905
597.642,40903
599.225,40893
614.001,40892
625.726,40890
626.832,40889
627.132,40888
627.252,40886
627.788,40885
629.735,40883
642.603,40882
647.844,40881
655.763,40879
667.892,40878
672.836,40876
677.758,40873
709.849,40870
717.349,40868
725.072,40857
727.408,40856
735.860,40855
737.310,40854
740.978,40851
742.692,40850
747.669,40849
750.551,40848
751.001,40845
754.147,40844
759.033,40841
763.903,40840
765.173,40839
769.018,40795
783.157,40792
785.290,40787
786.910,40786
788.356,40785
794.838,40784
802.809,40782
809.900,40778
813.664,40777
815.403,40775
818.999,40774
822.259,40773
853.722,40750
861.574,40749
871.463,40748
872.090,40747
885.998,40745
892.073,40744
894.914,40735
911.245,40734
926.875,40733
930.846,40732
933.985,40731
954.438,40728
971.384,40727
980.946,40726
988.004,40719
1002.918,40718
1010.143,40712
1018.763,40711
1022.338,40709
1024.960,40708
1033.608,40707
1034.173,40706
1062.831,40705
1063.269,40688
1068.235,40682
1069.465,40658
1089.998,40657
1101.511,40656
1115.990,40654
1117.049,40653
1167.204,40652
1167.992,40651
1173.507,40647
1181.298,40643
1189.193,40642
1243.149,40639
1258.457,40636
1261.514,40631
1263.946,40626
1268.293,40624
1273.299,40612
1276.151,40611
1292.262,40606
1298.136,40549
1310.357,40547
1311.681,40546
1321.061,40544
1325.014,40541
1336.116,40540
1342.367,40539
1346.900,40537
1353.889,40535
1358.403,40471
1373.693,40470
1375.858,40468
1481.861,40459
1498.753,40451
1506.158,40445
1520.942,40442
1522.349,40441
1526.363,40440
1531.474,40439
1533.366,40438
1568.640,40437
1613.828,40436
1615.720,40435
1649.683,40427
1655.049,40426
1668.298,40412
1681.590,40411
1684.082,40410
1684.684,40400
1689.812,40398
1709.045,40396
1716.599,40393
1727.042,40379
1731.904,40377
1792.475,40376
1800.144,40375
1802.134,40374
1807.738,40367
1821.612,40364
1853.563,40363
1867.432,40362
1876.424,40361
1879.195,40354
1886.261,40353
1890.395,40352
1895.439,40349
1898.092,40348
1898.912,40347
1903.091,40346
1911.870,40344
1912.881,40343
1930.567,40342
1941.645,40341
1945.823,40340
1945.926,40339
1964.885,40337
1970.646,40336
1981.150,40334
