benchmark,total_size,total_2q,original_size,original_2q,fidelity
grover_pigeon3.qasm,8407,92,17438,92,0.10844149937738827
portfolioqaoa_nativegates_ibm_tket_8.qasm,1796,168,4464,168,0.1139579811436375
portfoliovqe_nativegates_ibm_tket_8.qasm,549,84,1912,84,0.3552003791805612
qaoa_10.qasm,177,59,205,85,0.5009435725787981
qaoa_5.qasm,165,39,174,42,0.6283334446545662
qaoa_n10_p4.qasm,370,120,730,120,0.24453750732215082
qaoa_n4_p4.qasm,136,36,292,48,0.6537394558067346
qaoa_n8_p4.qasm,290,90,584,96,0.3473038815791266
qaoa_nativegates_ibm_tket_8.qasm,350,32,952,32,0.6615002717036453
qe_qft_4.qasm,220,27,247,27,0.7146692622659042
qe_qft_5.qasm,341,38,383,38,0.6207816618273063
qft_10_quest.qasm,199,114,381,216,0.2680076261564953
qft_20.qasm,3277,380,3290,380,0.009041738517288579
qft_5.qasm,187,33,208,33,0.6703008118866015
qft_nativegates_ibm_tket_8.qasm,798,68,1814,68,0.41203359152521196
qftentangled_nativegates_ibm_tket_8.qasm,870,75,2019,75,0.3765861613334044
qpeexact_nativegates_ibm_tket_8.qasm,715,64,1747,64,0.4357410497145525
qpeinexact_nativegates_ibm_tket_8.qasm,743,65,1791,65,0.4294175360401313
qf21_n15.qasm,228,85,371,115,0.3719627514774221
vqe_4.qasm,474,74,502,74,0.4058294657777835
vqe_nativegates_ibm_tket_8.qasm,159,14,535,14,0.8339323746904869
vqe_uccsd_n4.qasm,331,88,556,88,0.3505399858727386
vqe_uccsd_n6.qasm,3357,1052,5522,1052,3.9797334785142395e-06
ham15-high.qasm,5121,2149,6778,2149,1.5817294995798442e-11
misex1_241.qasm,5458,2100,6065,2100,2.5818070562709828e-11
0410184_169.qasm,253,96,287,104,0.3272110509215469
4gt10-v1_81.qasm,154,58,188,66,0.50960825623599
4gt12-v1_89.qasm,231,84,292,100,0.3763804861788781
4gt13_90.qasm,100,40,131,53,0.6285112482686631
4gt13_92.qasm,68,26,82,30,0.7393993498997241
4gt4-v0_72.qasm,266,97,326,113,0.3238253484917287
4gt4-v0_73.qasm,401,156,491,179,0.16340840327604927
4gt5_76.qasm,93,41,111,46,0.621658280629233
4mod5-bdd_287.qasm,82,27,98,31,0.7296941943913732
4mod5-v0_18.qasm,66,21,93,31,0.7823811056712511
4mod7-v1_96.qasm,162,62,212,72,0.4866472652674784
C17_204.qasm,471,177,587,205,0.1278476472310891
TFIM_step_100_16.qasm,2896,240,3840,240,0.044889381673838
TFIM_step_10_4.qasm,148,12,192,12,0.8562630060045069
XY_step_100_8.qasm,680,56,784,56,0.48473031214989337
adder_8.qasm,890,374,1060,409,0.013082585614765316
adder_9.qasm,147,65,194,98,0.4706370161163901
ae_nativegates_ibm_tket_8.qasm,670,56,1626,56,0.4799837070395382
aj-e11_165.qasm,161,61,191,69,0.4922886571113207
alu-bdd_288.qasm,90,33,108,38,0.681321115799285
alu-v0_27.qasm,42,15,48,17,0.8398161800831451
alu-v1_28.qasm,41,15,49,18,0.8398161800831451
alu-v1_29.qasm,46,15,53,17,0.839344071275817
alu-v2_30.qasm,527,199,636,223,0.0990462832885686
alu-v3_34.qasm,58,21,68,24,0.7832614904942596
alu-v4_37.qasm,43,16,49,18,0.8301922895461414
barenco_tof_3.qasm,58,22,70,24,0.7747212047597479
cm42a_207.qasm,2050,771,2276,771,0.00012888451988609772
cm82a_208.qasm,675,247,838,283,0.05651363177032331
csum_mux_9.qasm,439,168,476,168,0.14198126448753623
cycle10_2_110.qasm,6686,2523,7562,2648,4.4979337087599855e-14
dc1_220.qasm,2190,833,2430,833,6.293327143065725e-05
decod24-v3_45.qasm,169,55,206,64,0.5263519543089634
ex1_226.qasm,15,5,15,5,0.9429395866194296
f2_232.qasm,1265,476,1530,525,0.0039589583092946605
gf2^10_mult.qasm,1362,609,1423,609,0.0008850848000261954
gf2^4_mult.qasm,228,99,253,99,0.31823054466383566
gf2^8_mult.qasm,877,405,943,405,0.009313057963260785
ham15-med.qasm,1355,534,1711,534,0.0020657331713983575
ham7_104.qasm,324,130,396,149,0.22112585870769463
heisenberg_step_10_4.qasm,886,120,1202,180,0.22653372028407545
heisenberg_step_20_4.qasm,2242,360,2402,360,0.012877894921052995
heisenberg_step_30_4.qasm,3362,540,3602,540,0.0014618049254040944
heisenberg_step_35_4.qasm,3086,420,4202,630,0.00554083894517802
heisenberg_step_45_4.qasm,3966,540,5402,810,0.0012558928691069596
heisenberg_step_50_4.qasm,4406,600,6002,900,0.0005979173124696987
hlf_10.qasm,98,46,118,56,0.5850336613717568
hwb4_49.qasm,227,88,289,107,0.35982667156925213
hwb5_53.qasm,1403,551,1664,598,0.0016669442021279306
hwb6.qasm,259,103,415,116,0.30184860162559246
hwb6_56.qasm,7569,2952,8399,2952,1.322256263621402e-15
ising_model_13.qasm,479,120,896,120,0.2409205819454676
ising_model_16.qasm,593,150,1112,150,0.16891887051132412
majority_239.qasm,636,238,776,267,0.06290256554329617
miller_11.qasm,52,20,62,23,0.7927870131811338
adr4_197.qasm,3918,1498,4355,1498,2.7910896539596814e-08
mod10_171.qasm,218,85,308,108,0.37206734636905553
mod10_176.qasm,176,65,226,78,0.4695796200068612
mod5_4.qasm,65,27,75,28,0.7311317224755078
mod_mult_55.qasm,129,46,147,48,0.5850336613717568
mod_red_21.qasm,268,94,338,105,0.3342769380684359
muliply_5.qasm,151,20,165,20,0.7812806263236307
multiply_10.qasm,214,100,310,163,0.31405353676696823
one-two-three-v0_97.qasm,290,110,362,128,0.27860864252126133
one-two-three-v1_99.qasm,139,52,168,59,0.5464040608212158
one-two-three-v2_100.qasm,77,28,89,32,0.7221439377603176
qcla_adder_10.qasm,519,210,621,233,1.0
qcla_com_7.qasm,401,152,521,186,0.17082991438259038
qgan_nativegates_ibm_tket_8.qasm,202,28,700,28,0.7064794953700971
qiskit-alu-v0_26.qasm,89,33,108,38,0.681321115799285
radd_250.qasm,3455,1348,4045,1405,1.5912320468198356e-07
rd32-v1_68.qasm,32,7,52,16,0.9204164324834301
rd32_270.qasm,93,29,116,36,0.7126652721159304
rd53_131.qasm,493,170,649,200,0.1378902758509886
rd53_133.qasm,592,224,724,256,0.07412539151115988
rd53_135.qasm,276,107,368,134,0.288410594955939
rd53_138.qasm,119,44,164,60,0.5995183290711044
rd53_251.qasm,1479,564,1639,564,0.0014309615475482532
rd73_140.qasm,210,80,286,104,0.39458238008966096
rd73_252.qasm,6057,2319,6737,2319,2.021610300026014e-12
z4_268.qasm,3493,1343,3881,1343,1.691322747144224e-07
sf_274.qasm,822,284,1025,336,0.03660405628737974
pm1_249.qasm,1914,717,2276,771,0.00024015964319709025
sqrt8_260.qasm,3244,1256,3805,1314,4.6178655168390604e-07
sym6_145.qasm,4178,1637,4860,1701,5.579361394483007e-09
sym6_316.qasm,288,105,346,123,0.29497016023015393
tof_5.qasm,99,36,133,42,0.6577956729531197
wim_266.qasm,1002,361,1270,427,0.01498512502355854
heisenberg_step_40_4.qasm,3526,480,4802,720,0.002637934821052105
cm152a_212.qasm,1271,481,1545,532,0.0037372591857227746
rd53_130.qasm,1111,396,1375,448,0.009943422032699907
sf_276.qasm,858,311,1010,336,0.026860383566842887
ex2_227.qasm,654,241,807,275,0.060662331965773544
ham15-low.qasm,381,204,637,236,0.09423872886006764
heisenberg_step_5_4.qasm,446,60,602,90,0.47582178669807107
alu-v2_31.qasm,456,170,567,198,0.13866783821100684
gf2^6_mult.qasm,489,221,539,221,0.07781958099667421
barenco_tof_10.qasm,397,164,518,192,0.14960273149939537
mod8-10_178.qasm,346,127,430,152,0.2285196379016807
decod24-enable_126.qasm,343,130,422,149,0.22087731355088097
gf2^5_mult.qasm,346,154,383,154,0.16863535356337278
rd53_311.qasm,297,103,367,124,0.30117042815836415
mini-alu_167.qasm,287,108,360,126,0.28510554789755393
4gt12-v0_86.qasm,248,95,311,116,0.3317495532101775
4gt4-v0_78.qasm,226,89,291,109,0.35570323053346026
4_49_16.qasm,221,84,273,99,0.376804013364423
rc_adder_6.qasm,204,81,244,93,0.3898413798577032
4gt12-v0_88.qasm,185,70,242,86,0.44328346276814345
4gt4-v0_80.qasm,187,68,227,79,0.4536204382704744
one-two-three-v0_98.qasm,135,48,182,65,0.5721844968805416
