benchmark,original_total,original_2q,optimized_total,optimized_2q
0410184_169,363,104,201,81
3_17_13,60,17,36,14
4_49_16,329,99,181,79
4gt10-v1_81,228,66,117,49
4gt11_83,31,14,22,13
4gt11_84,26,9,17,8
4gt12-v0_86,371,116,185,86
4gt12-v0_87,367,112,188,88
4gt12-v0_88,290,86,153,68
4gt12-v1_89,356,100,175,75
4gt13-v1_93,116,30,60,22
4gt13_90,155,53,72,34
4gt13_91,151,49,74,36
4gt13_92,98,30,50,22
4gt4-v0_72,394,113,187,82
4gt4-v0_73,587,179,285,133
4gt4-v0_78,347,109,181,84
4gt4-v0_79,343,105,180,82
4gt4-v0_80,275,79,137,60
4gt4-v1_74,417,119,210,90
4gt5_76,131,46,67,35
4gt5_77,203,58,101,42
4mod5-bdd_287,126,31,68,25
4mod5-v0_18,117,31,47,17
4mod5-v0_19,59,16,30,12
4mod5-v0_20,36,10,23,9
4mod5-v1_22,37,11,22,8
4mod5-v1_23,109,32,55,23
4mod5-v1_24,68,16,40,14
4mod7-v0_94,242,72,110,48
4mod7-v1_96,260,72,122,48
9symml_195,52809,15232,52809,15232
C17_204,707,205,352,157
TFIM_step_100_16,6240,240,2776,240
TFIM_step_100_32,25775,992,11423,992
TFIM_step_100_4,312,12,142,12
TFIM_step_100_8,1456,56,652,56
TFIM_step_10_4,312,12,142,12
TFIM_step_20_4,312,12,142,12
TFIM_step_30_4,312,12,142,12
TFIM_step_40_4,312,12,142,12
TFIM_step_50_4,312,12,142,12
TFIM_step_60_4,312,12,142,12
TFIM_step_70_4,312,12,142,12
TFIM_step_80_4,312,12,142,12
TFIM_step_90_4,312,12,142,12
XY_step_100_4,288,12,138,12
XY_step_100_8,1344,56,644,56
adder_4,266,24,102,19
adder_8,900,409,725,333
adder_9,226,98,131,62
adr4_197,5271,1498,3070,1420
ae_nativegates_ibm_tket_8,2310,56,773,56
aj-e11_165,231,69,130,57
alu-bdd_288,132,38,62,27
alu-v0_26,132,38,69,29
alu-v0_27,60,17,38,15
alu-v1_28,61,18,38,15
alu-v1_29,69,17,42,15
alu-v2_30,768,223,417,187
alu-v2_31,683,198,349,159
alu-v2_32,251,72,132,56
alu-v2_33,69,17,43,15
alu-v3_34,84,24,51,21
alu-v3_35,61,18,39,16
alu-v4_36,179,51,86,36
alu-v4_37,61,18,39,16
barenco_tof_10,450,192,402,176
barenco_tof_3,58,24,48,20
barenco_tof_4,114,48,101,44
barenco_tof_5,170,72,152,66
clip_206,51227,14772,51227,14772
cm152a_212,1869,532,994,460
cm42a_207,2776,771,1569,690
cm82a_208,1026,283,561,251
cm85a_209,17270,4986,11247,4986
cnt3-5_179,255,85,150,65
cnt3-5_180,725,215,371,158
co14_215,27024,7840,27024,7840
con1_216,1490,415,836,379
csla_mux_3,170,80,148,70
csum_mux_9,420,168,406,168
cycle10_2_110,9074,2648,5403,2494
dc1_220,2946,833,1643,755
dc2_222,14350,4131,9694,4131
decod24-bdd_294,145,32,76,23
decod24-enable_126,506,149,271,121
decod24-v0_38,83,23,43,17
decod24-v1_41,141,38,77,31
decod24-v2_43,100,22,53,16
decod24-v3_45,262,64,131,47
dist_223,57486,16624,57486,16624
ex-1_166,35,9,22,8
ex1_226,23,5,15,5
ex2_227,983,275,552,248
ex3_229,627,175,307,131
f2_232,1854,525,1032,465
gf2^10_mult,1347,609,1253,609
gf2^4_mult,225,99,202,99
gf2^5_mult,347,154,310,154
gf2^6_mult,495,221,430,218
gf2^7_mult,669,300,592,300
gf2^8_mult,883,405,825,405
gf2^9_mult,1095,494,1012,494
graycode6_47,5,5,5,5
ground_state_estimation_10,371940,154209,371940,154209
grover_pigeon3,25714,92,8399,92
ham15-high,7498,2149,4670,2140
ham15-low,713,236,346,206
ham15-med,1907,534,768,384
ham15_107,13123,3858,8281,3858
ham3_102,28,11,16,7
ham7_104,472,149,257,120
heisenberg_step_10_4,1442,180,662,120
heisenberg_step_15_4,2162,270,992,180
heisenberg_step_20_4,2882,360,1322,240
heisenberg_step_25_4,3602,450,1652,300
heisenberg_step_30_4,4322,540,1982,360
heisenberg_step_35_4,5042,630,2312,420
heisenberg_step_40_4,5762,720,2642,480
heisenberg_step_45_4,6482,810,2972,540
heisenberg_step_50_4,7202,900,3302,600
heisenberg_step_50_8,16804,2100,7704,1400
heisenberg_step_5_4,722,90,332,60
hlf_10,160,56,59,35
hlf_5,93,14,52,14
hwb4_49,345,107,180,85
hwb5_53,1992,598,1131,521
hwb6,491,116,243,107
hwb6_56,10075,2952,6195,2829
hwb7_59,36555,10681,36555,10681
hwb8_113,104068,30372,104068,30372
hwb9_119,311615,90955,311615,90955
inc_237,16115,4636,10462,4636
ising_model_10,900,90,288,72
ising_model_13,1182,120,387,102
ising_model_16,1464,150,477,126
life_238,34005,9800,34005,9800
majority_239,940,267,526,244
max46_240,41094,11844,41094,11844
miller_11,74,23,46,20
mini-alu_167,432,126,236,101
mini_alu_305,301,77,159,59
misex1_241,7317,2100,4344,1993
mlp4_245,28548,8232,28548,8232
mod10_171,372,108,198,84
mod10_176,274,78,145,63
mod5_4,63,28,49,23
mod5adder_127,907,239,515,214
mod5d1_63,30,13,20,11
mod5d2_64,85,25,47,21
mod5mils_65,59,16,29,12
mod8-10_177,664,196,374,172
mod8-10_178,518,152,267,117
mod_mult_55,119,48,104,43
mod_red_21,278,105,229,91
muliply_5,281,20,105,17
multiply_10,350,163,194,100
one-two-three-v0_97,434,128,229,102
one-two-three-v0_98,218,65,107,44
one-two-three-v1_99,204,59,104,46
one-two-three-v2_100,109,32,65,26
one-two-three-v3_101,118,32,73,28
plus63mod4096_163,193120,56329,193120,56329
plus63mod8192_164,280672,81865,280672,81865
pm1_249,2776,771,1511,681
portfolioqaoa_nativegates_ibm_tket_8,6400,168,2171,168
portfoliovqe_nativegates_ibm_tket_8,2532,84,760,84
qaoa_10,285,85,151,53
qaoa_5,282,42,110,31
qaoa_n10_p4,910,120,350,120
qaoa_n14_p4,1274,168,482,160
qaoa_n20_p4,1820,240,696,236
qaoa_n30_p4,2730,360,1050,360
qaoa_n4_p4,364,48,128,36
qaoa_n6_p4,546,72,202,64
qaoa_n8_p4,728,96,272,88
qaoa_nativegates_ibm_tket_8,1364,32,436,32
qcla_adder_10,521,233,462,211
qcla_com_7,443,186,353,150
qcla_mod_7,884,382,792,352
qe_qft_4,423,27,165,27
qe_qft_5,659,38,257,34
qft_10,280,90,0,0
qft_10_quest,401,216,190,115
qft_16,640,240,0,0
qft_20,5610,380,681,380
qft_5,348,33,63,25
qft_nativegates_ibm_tket_8,2574,68,879,68
qftentangled_nativegates_ibm_tket_8,2853,75,951,75
qgan_nativegates_ibm_tket_8,928,28,280,28
qiskit-3_17_13,60,17,36,14
qiskit-alu-v0_26,132,38,69,29
qpeexact_nativegates_ibm_tket_8,2471,64,833,64
qpeinexact_nativegates_ibm_tket_8,2531,65,851,65
radd_250,4877,1405,2843,1332
rc_adder_6,200,93,182,81
rd32-v0_66,50,16,18,7
rd32-v1_68,68,16,28,7
rd32_270,148,36,66,25
rd53_130,1707,448,968,415
rd53_131,829,200,408,160
rd53_133,868,256,469,225
rd53_135,440,134,234,112
rd53_138,196,60,95,41
rd53_251,1987,564,1134,529
rd53_311,459,124,253,103
rd73_140,342,104,180,79
rd73_252,8153,2319,4940,2317
rd84_142,511,154,283,121
rd84_253,20778,5960,14893,5960
root_255,26007,7493,26007,7493
sao2_257,58105,16864,58105,16864
sf_274,1269,336,629,263
sf_276,1242,336,650,283
shor_15_7,36598,14858,36598,14858
sqn_258,15567,4459,10119,4459
sqrt8_260,4601,1314,2687,1243
squar5_261,3049,869,1682,781
square_root_7,13330,3089,7582,2672
sym10_262,97107,28084,97107,28084
sym6_145,5832,1701,3416,1616
sym6_316,422,123,223,96
sym9_146,488,148,277,122
sym9_148,32256,9408,32256,9408
sym9_193,52809,15232,52809,15232
sys6-v0_111,319,98,170,74
tof_10,255,102,215,86
tof_3,45,18,40,16
tof_4,75,30,65,26
tof_5,105,42,90,36
urf1_149,277296,80878,277296,80878
