,cluster,process,jar,timeout,circuit_file,guoq_cli_args,time_to_best,best_size_2q,best_circuit_size,best_size_t,seconds_elapsed,original_t,original_total,original_2q,circuit_id,out_dir,command,args_file,guoq_config,symb_rules,circuit,max_resynth_allowed,seed,resynth_alg,job_info,max_symb_size,use_size_preserving_symb_rules,rules,remove_size_preserving_rules,fidelity,epsilon,resynth_args,output_dir,temperature,iters_before_prune,apply_once,queue_size,search_strategy,cooling_rate,opt_obj,max_symb_qubits,add_size_preserve_reflection,prune_temperature,add_size_increase,preserve_mapping,max_rule_qubits,secs_before_prune,gateset,method,best_size_fidelity,original_fidelity
0,277230,194,QUESO-1.0-jar-with-dependencies.jar,3600,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,"-r rules_q3_s6_ibmnew.txt -sr rules_q3_s3_ibmnew_symb.txt -search BEAM_MCMC -opt FIDELITY -resynth BQSKIT -eps 1e-08 -temp 10 --resynth-args {""bqskitOptLevel"":3,""targetGateset"":""ibm_new""} -itersprune 1 -secsprune 130 -q 1 --fidelity 40",2771,64,244,55,2771.621,91,267,98,sys6-v0_111,results_sys6-v0_111,timeout 3600 java --enable-preview -ea -Xmx32g -cp QUESO-1.0-jar-with-dependencies.jar qoptimizer.Optimizer @results_sys6-v0_111/args_277230_194.txt,args_277230_194.txt,"{'symb_rules': 'rules_q3_s3_ibmnew_symb.txt', 'circuit': 'benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm', 'max_resynth_allowed': 100, 'seed': -232321694, 'resynth_alg': 'BQSKIT', 'job_info': '277230_194', 'max_symb_size': 10, 'use_size_preserving_symb_rules': False, 'rules': 'rules_q3_s6_ibmnew.txt', 'remove_size_preserving_rules': False, 'fidelity': 40, 'epsilon': 1e-08, 'resynth_args': {'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}, 'output_dir': 'results_sys6-v0_111', 'temperature': 10.0, 'iters_before_prune': 1, 'apply_once': False, 'queue_size': 1, 'search_strategy': 'BEAM_MCMC', 'cooling_rate': 0.0, 'opt_obj': 'FIDELITY', 'max_symb_qubits': 7, 'add_size_preserve_reflection': False, 'prune_temperature': 0.0, 'add_size_increase': False, 'preserve_mapping': False, 'max_rule_qubits': -1, 'secs_before_prune': 130}",rules_q3_s3_ibmnew_symb.txt,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,100,-232321694,BQSKIT,277230_194,10,False,rules_q3_s6_ibmnew.txt,False,40,1e-08,"{'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}",results_sys6-v0_111,10.0,1,False,1,BEAM_MCMC,0.0,FIDELITY,7,False,0.0,False,False,-1,130,ibmnew,guoq BEAM_MCMC FIDELITY BQSKIT ibmnew 3600 10.0 0.0 0.0 1 130 1 False,0.47023937737147714,0.32083529686531165
1,277231,194,QUESO-1.0-jar-with-dependencies.jar,3600,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,"-r rules_q3_s6_ibmnew.txt -sr rules_q3_s3_ibmnew_symb.txt -search BEAM_MCMC -opt FIDELITY -resynth BQSKIT -eps 1e-08 -temp 10 --resynth-args {""bqskitOptLevel"":3,""targetGateset"":""ibm_new""} -itersprune 1 -secsprune 130 -q 1 --fidelity 40",819,58,190,65,819.29,91,267,98,sys6-v0_111,results_sys6-v0_111,timeout 3600 java --enable-preview -ea -Xmx32g -cp QUESO-1.0-jar-with-dependencies.jar qoptimizer.Optimizer @results_sys6-v0_111/args_277231_194.txt,args_277231_194.txt,"{'symb_rules': 'rules_q3_s3_ibmnew_symb.txt', 'circuit': 'benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm', 'max_resynth_allowed': 100, 'seed': -314582418, 'resynth_alg': 'BQSKIT', 'job_info': '277231_194', 'max_symb_size': 10, 'use_size_preserving_symb_rules': False, 'rules': 'rules_q3_s6_ibmnew.txt', 'remove_size_preserving_rules': False, 'fidelity': 40, 'epsilon': 1e-08, 'resynth_args': {'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}, 'output_dir': 'results_sys6-v0_111', 'temperature': 10.0, 'iters_before_prune': 1, 'apply_once': False, 'queue_size': 1, 'search_strategy': 'BEAM_MCMC', 'cooling_rate': 0.0, 'opt_obj': 'FIDELITY', 'max_symb_qubits': 7, 'add_size_preserve_reflection': False, 'prune_temperature': 0.0, 'add_size_increase': False, 'preserve_mapping': False, 'max_rule_qubits': -1, 'secs_before_prune': 130}",rules_q3_s3_ibmnew_symb.txt,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,100,-314582418,BQSKIT,277231_194,10,False,rules_q3_s6_ibmnew.txt,False,40,1e-08,"{'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}",results_sys6-v0_111,10.0,1,False,1,BEAM_MCMC,0.0,FIDELITY,7,False,0.0,False,False,-1,130,ibmnew,guoq BEAM_MCMC FIDELITY BQSKIT ibmnew 3600 10.0 0.0 0.0 1 130 1 False,0.507178303287416,0.32083529686531165
2,277237,194,QUESO-1.0-jar-with-dependencies.jar,3600,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,"-r rules_q3_s6_ibmnew.txt -sr rules_q3_s3_ibmnew_symb.txt -search BEAM_MCMC -opt FIDELITY -resynth BQSKIT -eps 1e-08 -temp 10 --resynth-args {""bqskitOptLevel"":3,""targetGateset"":""ibm_new""} -itersprune 1 -secsprune 130 -q 1 --fidelity 40",3286,60,263,45,3286.219,91,267,98,sys6-v0_111,results_sys6-v0_111,timeout 3600 java --enable-preview -ea -Xmx32g -cp QUESO-1.0-jar-with-dependencies.jar qoptimizer.Optimizer @results_sys6-v0_111/args_277237_194.txt,args_277237_194.txt,"{'symb_rules': 'rules_q3_s3_ibmnew_symb.txt', 'circuit': 'benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm', 'max_resynth_allowed': 100, 'seed': -830601590, 'resynth_alg': 'BQSKIT', 'job_info': '277237_194', 'max_symb_size': 10, 'use_size_preserving_symb_rules': False, 'rules': 'rules_q3_s6_ibmnew.txt', 'remove_size_preserving_rules': False, 'fidelity': 40, 'epsilon': 1e-08, 'resynth_args': {'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}, 'output_dir': 'results_sys6-v0_111', 'temperature': 10.0, 'iters_before_prune': 1, 'apply_once': False, 'queue_size': 1, 'search_strategy': 'BEAM_MCMC', 'cooling_rate': 0.0, 'opt_obj': 'FIDELITY', 'max_symb_qubits': 7, 'add_size_preserve_reflection': False, 'prune_temperature': 0.0, 'add_size_increase': False, 'preserve_mapping': False, 'max_rule_qubits': -1, 'secs_before_prune': 130}",rules_q3_s3_ibmnew_symb.txt,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,100,-830601590,BQSKIT,277237_194,10,False,rules_q3_s6_ibmnew.txt,False,40,1e-08,"{'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}",results_sys6-v0_111,10.0,1,False,1,BEAM_MCMC,0.0,FIDELITY,7,False,0.0,False,False,-1,130,ibmnew,guoq BEAM_MCMC FIDELITY BQSKIT ibmnew 3600 10.0 0.0 0.0 1 130 1 False,0.4909056204030821,0.32083529686531165
3,277236,194,QUESO-1.0-jar-with-dependencies.jar,3600,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,"-r rules_q3_s6_ibmnew.txt -sr rules_q3_s3_ibmnew_symb.txt -search BEAM_MCMC -opt FIDELITY -resynth BQSKIT -eps 1e-08 -temp 10 --resynth-args {""bqskitOptLevel"":3,""targetGateset"":""ibm_new""} -itersprune 1 -secsprune 130 -q 1 --fidelity 40",2662,62,245,48,2662.815,91,267,98,sys6-v0_111,results_sys6-v0_111,timeout 3600 java --enable-preview -ea -Xmx32g -cp QUESO-1.0-jar-with-dependencies.jar qoptimizer.Optimizer @results_sys6-v0_111/args_277236_194.txt,args_277236_194.txt,"{'symb_rules': 'rules_q3_s3_ibmnew_symb.txt', 'circuit': 'benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm', 'max_resynth_allowed': 100, 'seed': 211859551, 'resynth_alg': 'BQSKIT', 'job_info': '277236_194', 'max_symb_size': 10, 'use_size_preserving_symb_rules': False, 'rules': 'rules_q3_s6_ibmnew.txt', 'remove_size_preserving_rules': False, 'fidelity': 40, 'epsilon': 1e-08, 'resynth_args': {'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}, 'output_dir': 'results_sys6-v0_111', 'temperature': 10.0, 'iters_before_prune': 1, 'apply_once': False, 'queue_size': 1, 'search_strategy': 'BEAM_MCMC', 'cooling_rate': 0.0, 'opt_obj': 'FIDELITY', 'max_symb_qubits': 7, 'add_size_preserve_reflection': False, 'prune_temperature': 0.0, 'add_size_increase': False, 'preserve_mapping': False, 'max_rule_qubits': -1, 'secs_before_prune': 130}",rules_q3_s3_ibmnew_symb.txt,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,100,211859551,BQSKIT,277236_194,10,False,rules_q3_s6_ibmnew.txt,False,40,1e-08,"{'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}",results_sys6-v0_111,10.0,1,False,1,BEAM_MCMC,0.0,FIDELITY,7,False,0.0,False,False,-1,130,ibmnew,guoq BEAM_MCMC FIDELITY BQSKIT ibmnew 3600 10.0 0.0 0.0 1 130 1 False,0.48079922850871293,0.32083529686531165
4,277239,194,QUESO-1.0-jar-with-dependencies.jar,3600,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,"-r rules_q3_s6_ibmnew.txt -sr rules_q3_s3_ibmnew_symb.txt -search BEAM_MCMC -opt FIDELITY -resynth BQSKIT -eps 1e-08 -temp 10 --resynth-args {""bqskitOptLevel"":3,""targetGateset"":""ibm_new""} -itersprune 1 -secsprune 130 -q 1 --fidelity 40",3429,63,268,48,3429.128,91,267,98,sys6-v0_111,results_sys6-v0_111,timeout 3600 java --enable-preview -ea -Xmx32g -cp QUESO-1.0-jar-with-dependencies.jar qoptimizer.Optimizer @results_sys6-v0_111/args_277239_194.txt,args_277239_194.txt,"{'symb_rules': 'rules_q3_s3_ibmnew_symb.txt', 'circuit': 'benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm', 'max_resynth_allowed': 100, 'seed': 1182535406, 'resynth_alg': 'BQSKIT', 'job_info': '277239_194', 'max_symb_size': 10, 'use_size_preserving_symb_rules': False, 'rules': 'rules_q3_s6_ibmnew.txt', 'remove_size_preserving_rules': False, 'fidelity': 40, 'epsilon': 1e-08, 'resynth_args': {'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}, 'output_dir': 'results_sys6-v0_111', 'temperature': 10.0, 'iters_before_prune': 1, 'apply_once': False, 'queue_size': 1, 'search_strategy': 'BEAM_MCMC', 'cooling_rate': 0.0, 'opt_obj': 'FIDELITY', 'max_symb_qubits': 7, 'add_size_preserve_reflection': False, 'prune_temperature': 0.0, 'add_size_increase': False, 'preserve_mapping': False, 'max_rule_qubits': -1, 'secs_before_prune': 130}",rules_q3_s3_ibmnew_symb.txt,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,100,1182535406,BQSKIT,277239_194,10,False,rules_q3_s6_ibmnew.txt,False,40,1e-08,"{'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}",results_sys6-v0_111,10.0,1,False,1,BEAM_MCMC,0.0,FIDELITY,7,False,0.0,False,False,-1,130,ibmnew,guoq BEAM_MCMC FIDELITY BQSKIT ibmnew 3600 10.0 0.0 0.0 1 130 1 False,0.4742216510022975,0.32083529686531165
5,277238,194,QUESO-1.0-jar-with-dependencies.jar,3600,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,"-r rules_q3_s6_ibmnew.txt -sr rules_q3_s3_ibmnew_symb.txt -search BEAM_MCMC -opt FIDELITY -resynth BQSKIT -eps 1e-08 -temp 10 --resynth-args {""bqskitOptLevel"":3,""targetGateset"":""ibm_new""} -itersprune 1 -secsprune 130 -q 1 --fidelity 40",1838,60,285,45,1838.281,91,267,98,sys6-v0_111,results_sys6-v0_111,timeout 3600 java --enable-preview -ea -Xmx32g -cp QUESO-1.0-jar-with-dependencies.jar qoptimizer.Optimizer @results_sys6-v0_111/args_277238_194.txt,args_277238_194.txt,"{'symb_rules': 'rules_q3_s3_ibmnew_symb.txt', 'circuit': 'benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm', 'max_resynth_allowed': 100, 'seed': 1045247282, 'resynth_alg': 'BQSKIT', 'job_info': '277238_194', 'max_symb_size': 10, 'use_size_preserving_symb_rules': False, 'rules': 'rules_q3_s6_ibmnew.txt', 'remove_size_preserving_rules': False, 'fidelity': 40, 'epsilon': 1e-08, 'resynth_args': {'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}, 'output_dir': 'results_sys6-v0_111', 'temperature': 10.0, 'iters_before_prune': 1, 'apply_once': False, 'queue_size': 1, 'search_strategy': 'BEAM_MCMC', 'cooling_rate': 0.0, 'opt_obj': 'FIDELITY', 'max_symb_qubits': 7, 'add_size_preserve_reflection': False, 'prune_temperature': 0.0, 'add_size_increase': False, 'preserve_mapping': False, 'max_rule_qubits': -1, 'secs_before_prune': 130}",rules_q3_s3_ibmnew_symb.txt,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,100,1045247282,BQSKIT,277238_194,10,False,rules_q3_s6_ibmnew.txt,False,40,1e-08,"{'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}",results_sys6-v0_111,10.0,1,False,1,BEAM_MCMC,0.0,FIDELITY,7,False,0.0,False,False,-1,130,ibmnew,guoq BEAM_MCMC FIDELITY BQSKIT ibmnew 3600 10.0 0.0 0.0 1 130 1 False,0.48966499369952704,0.32083529686531165
6,277233,194,QUESO-1.0-jar-with-dependencies.jar,3600,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,"-r rules_q3_s6_ibmnew.txt -sr rules_q3_s3_ibmnew_symb.txt -search BEAM_MCMC -opt FIDELITY -resynth BQSKIT -eps 1e-08 -temp 10 --resynth-args {""bqskitOptLevel"":3,""targetGateset"":""ibm_new""} -itersprune 1 -secsprune 130 -q 1 --fidelity 40",3156,63,215,55,3156.339,91,267,98,sys6-v0_111,results_sys6-v0_111,timeout 3600 java --enable-preview -ea -Xmx32g -cp QUESO-1.0-jar-with-dependencies.jar qoptimizer.Optimizer @results_sys6-v0_111/args_277233_194.txt,args_277233_194.txt,"{'symb_rules': 'rules_q3_s3_ibmnew_symb.txt', 'circuit': 'benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm', 'max_resynth_allowed': 100, 'seed': 2081616873, 'resynth_alg': 'BQSKIT', 'job_info': '277233_194', 'max_symb_size': 10, 'use_size_preserving_symb_rules': False, 'rules': 'rules_q3_s6_ibmnew.txt', 'remove_size_preserving_rules': False, 'fidelity': 40, 'epsilon': 1e-08, 'resynth_args': {'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}, 'output_dir': 'results_sys6-v0_111', 'temperature': 10.0, 'iters_before_prune': 1, 'apply_once': False, 'queue_size': 1, 'search_strategy': 'BEAM_MCMC', 'cooling_rate': 0.0, 'opt_obj': 'FIDELITY', 'max_symb_qubits': 7, 'add_size_preserve_reflection': False, 'prune_temperature': 0.0, 'add_size_increase': False, 'preserve_mapping': False, 'max_rule_qubits': -1, 'secs_before_prune': 130}",rules_q3_s3_ibmnew_symb.txt,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,100,2081616873,BQSKIT,277233_194,10,False,rules_q3_s6_ibmnew.txt,False,40,1e-08,"{'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}",results_sys6-v0_111,10.0,1,False,1,BEAM_MCMC,0.0,FIDELITY,7,False,0.0,False,False,-1,130,ibmnew,guoq BEAM_MCMC FIDELITY BQSKIT ibmnew 3600 10.0 0.0 0.0 1 130 1 False,0.47729820222167796,0.32083529686531165
7,277232,194,QUESO-1.0-jar-with-dependencies.jar,3600,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,"-r rules_q3_s6_ibmnew.txt -sr rules_q3_s3_ibmnew_symb.txt -search BEAM_MCMC -opt FIDELITY -resynth BQSKIT -eps 1e-08 -temp 10 --resynth-args {""bqskitOptLevel"":3,""targetGateset"":""ibm_new""} -itersprune 1 -secsprune 130 -q 1 --fidelity 40",3170,66,242,53,3170.828,91,267,98,sys6-v0_111,results_sys6-v0_111,timeout 3600 java --enable-preview -ea -Xmx32g -cp QUESO-1.0-jar-with-dependencies.jar qoptimizer.Optimizer @results_sys6-v0_111/args_277232_194.txt,args_277232_194.txt,"{'symb_rules': 'rules_q3_s3_ibmnew_symb.txt', 'circuit': 'benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm', 'max_resynth_allowed': 100, 'seed': -1098480672, 'resynth_alg': 'BQSKIT', 'job_info': '277232_194', 'max_symb_size': 10, 'use_size_preserving_symb_rules': False, 'rules': 'rules_q3_s6_ibmnew.txt', 'remove_size_preserving_rules': False, 'fidelity': 40, 'epsilon': 1e-08, 'resynth_args': {'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}, 'output_dir': 'results_sys6-v0_111', 'temperature': 10.0, 'iters_before_prune': 1, 'apply_once': False, 'queue_size': 1, 'search_strategy': 'BEAM_MCMC', 'cooling_rate': 0.0, 'opt_obj': 'FIDELITY', 'max_symb_qubits': 7, 'add_size_preserve_reflection': False, 'prune_temperature': 0.0, 'add_size_increase': False, 'preserve_mapping': False, 'max_rule_qubits': -1, 'secs_before_prune': 130}",rules_q3_s3_ibmnew_symb.txt,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,100,-1098480672,BQSKIT,277232_194,10,False,rules_q3_s6_ibmnew.txt,False,40,1e-08,"{'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}",results_sys6-v0_111,10.0,1,False,1,BEAM_MCMC,0.0,FIDELITY,7,False,0.0,False,False,-1,130,ibmnew,guoq BEAM_MCMC FIDELITY BQSKIT ibmnew 3600 10.0 0.0 0.0 1 130 1 False,0.4596529109246451,0.32083529686531165
8,277234,194,QUESO-1.0-jar-with-dependencies.jar,3600,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,"-r rules_q3_s6_ibmnew.txt -sr rules_q3_s3_ibmnew_symb.txt -search BEAM_MCMC -opt FIDELITY -resynth BQSKIT -eps 1e-08 -temp 10 --resynth-args {""bqskitOptLevel"":3,""targetGateset"":""ibm_new""} -itersprune 1 -secsprune 130 -q 1 --fidelity 40",1280,62,209,56,1280.859,91,267,98,sys6-v0_111,results_sys6-v0_111,timeout 3600 java --enable-preview -ea -Xmx32g -cp QUESO-1.0-jar-with-dependencies.jar qoptimizer.Optimizer @results_sys6-v0_111/args_277234_194.txt,args_277234_194.txt,"{'symb_rules': 'rules_q3_s3_ibmnew_symb.txt', 'circuit': 'benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm', 'max_resynth_allowed': 100, 'seed': 2036022666, 'resynth_alg': 'BQSKIT', 'job_info': '277234_194', 'max_symb_size': 10, 'use_size_preserving_symb_rules': False, 'rules': 'rules_q3_s6_ibmnew.txt', 'remove_size_preserving_rules': False, 'fidelity': 40, 'epsilon': 1e-08, 'resynth_args': {'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}, 'output_dir': 'results_sys6-v0_111', 'temperature': 10.0, 'iters_before_prune': 1, 'apply_once': False, 'queue_size': 1, 'search_strategy': 'BEAM_MCMC', 'cooling_rate': 0.0, 'opt_obj': 'FIDELITY', 'max_symb_qubits': 7, 'add_size_preserve_reflection': False, 'prune_temperature': 0.0, 'add_size_increase': False, 'preserve_mapping': False, 'max_rule_qubits': -1, 'secs_before_prune': 130}",rules_q3_s3_ibmnew_symb.txt,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,100,2036022666,BQSKIT,277234_194,10,False,rules_q3_s6_ibmnew.txt,False,40,1e-08,"{'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}",results_sys6-v0_111,10.0,1,False,1,BEAM_MCMC,0.0,FIDELITY,7,False,0.0,False,False,-1,130,ibmnew,guoq BEAM_MCMC FIDELITY BQSKIT ibmnew 3600 10.0 0.0 0.0 1 130 1 False,0.4832386432642497,0.32083529686531165
9,277235,194,QUESO-1.0-jar-with-dependencies.jar,3600,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,"-r rules_q3_s6_ibmnew.txt -sr rules_q3_s3_ibmnew_symb.txt -search BEAM_MCMC -opt FIDELITY -resynth BQSKIT -eps 1e-08 -temp 10 --resynth-args {""bqskitOptLevel"":3,""targetGateset"":""ibm_new""} -itersprune 1 -secsprune 130 -q 1 --fidelity 40",2951,63,245,52,2951.189,91,267,98,sys6-v0_111,results_sys6-v0_111,timeout 3600 java --enable-preview -ea -Xmx32g -cp QUESO-1.0-jar-with-dependencies.jar qoptimizer.Optimizer @results_sys6-v0_111/args_277235_194.txt,args_277235_194.txt,"{'symb_rules': 'rules_q3_s3_ibmnew_symb.txt', 'circuit': 'benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm', 'max_resynth_allowed': 100, 'seed': -454216684, 'resynth_alg': 'BQSKIT', 'job_info': '277235_194', 'max_symb_size': 10, 'use_size_preserving_symb_rules': False, 'rules': 'rules_q3_s6_ibmnew.txt', 'remove_size_preserving_rules': False, 'fidelity': 40, 'epsilon': 1e-08, 'resynth_args': {'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}, 'output_dir': 'results_sys6-v0_111', 'temperature': 10.0, 'iters_before_prune': 1, 'apply_once': False, 'queue_size': 1, 'search_strategy': 'BEAM_MCMC', 'cooling_rate': 0.0, 'opt_obj': 'FIDELITY', 'max_symb_qubits': 7, 'add_size_preserve_reflection': False, 'prune_temperature': 0.0, 'add_size_increase': False, 'preserve_mapping': False, 'max_rule_qubits': -1, 'secs_before_prune': 130}",rules_q3_s3_ibmnew_symb.txt,benchmarks/new_benchmarks/ibmnew/sys6-v0_111.qasm,100,-454216684,BQSKIT,277235_194,10,False,rules_q3_s6_ibmnew.txt,False,40,1e-08,"{'bqskitOptLevel': 3, 'synthetiqNumCircuits': 0, 'synthetiqThreads': 0, 'targetGateset': 'ibm_new'}",results_sys6-v0_111,10.0,1,False,1,BEAM_MCMC,0.0,FIDELITY,7,False,0.0,False,False,-1,130,ibmnew,guoq BEAM_MCMC FIDELITY BQSKIT ibmnew 3600 10.0 0.0 0.0 1 130 1 False,0.47569056301966695,0.32083529686531165
