time_s,total_2q
0.000,43079
0.037,43075
0.043,43075
0.051,43075
0.054,43075
0.054,43075
0.064,43060
0.065,43054
0.066,43052
0.068,43052
0.068,43052
0.071,43049
0.073,43043
0.074,43043
0.086,43041
0.100,43040
0.102,43039
0.109,43026
0.112,43004
0.115,43002
0.118,43002
0.118,42992
0.120,42992
0.125,42974
0.129,42974
0.146,42974
0.154,42973
0.156,42966
0.163,42966
0.171,42966
0.172,42962
0.176,42962
0.182,42962
0.185,42959
0.187,42959
0.208,42958
0.212,42958
0.225,42913
0.226,42913
0.232,42912
0.243,42880
0.258,42872
0.276,42872
0.281,42860
0.290,42855
0.290,42854
0.299,42848
0.303,42839
0.304,42830
0.305,42830
0.314,42824
0.322,42810
0.324,42810
0.333,42809
0.333,42769
0.339,42768
0.342,42756
0.343,42756
0.343,42756
0.347,42756
0.356,42756
0.359,42755
0.363,42728
0.373,42728
0.378,42728
0.380,42723
0.396,42723
0.401,42720
0.410,42611
0.417,42607
0.444,42607
0.445,42601
0.450,42601
0.459,42598
0.470,42556
0.471,42476
0.474,42476
0.476,42476
0.480,42466
0.515,42466
0.551,42466
0.554,42454
0.555,42454
0.556,42454
0.569,42454
0.574,42453
0.584,42453
0.585,42450
0.628,42450
0.663,42443
0.696,42443
0.760,42443
0.762,42442
0.767,42383
0.776,42355
0.778,42355
0.895,42355
0.916,42355
0.938,42195
1.019,42184
1.058,42177
1.071,42173
1.119,42173
1.337,42173
1.385,41933
1.434,41932
1.444,41931
1.486,41931
1.516,41931
1.520,41927
1.580,41901
1.610,41901
1.723,41865
2.090,41863
2.131,41861
2.158,41861
2.179,41861
2.362,41861
3.098,41858
3.154,41858
3.392,41578
3.636,41573
4.004,41572
4.153,41569
4.558,41562
4.562,41202
4.632,40882
5.211,40882
5.639,40482
6.120,40268
7.771,40259
8.972,40249
13.012,40249
18.529,40220
19.455,40208
26.943,40205
