benchmark,total_size,total_2q,original_size,original_2q,fidelity
grover_pigeon3.qasm,567,92,17438,92,0.32822225898620666
portfolioqaoa_nativegates_ibm_tket_8.qasm,712,168,4464,168,0.1347471121063624
portfoliovqe_nativegates_ibm_tket_8.qasm,232,84,1912,84,0.3722759621900383
qaoa_10.qasm,162,40,205,85,0.6218319830923373
qaoa_5.qasm,78,20,177,42,0.7894505811068684
qaoa_n10_p4.qasm,394,120,730,120,0.24453750732215082
qaoa_n4_p4.qasm,156,48,292,48,0.5692960786548152
qaoa_n8_p4.qasm,320,96,584,96,0.3240980251717496
qaoa_nativegates_ibm_tket_8.qasm,159,32,952,32,0.6811283724600317
qe_qft_4.qasm,49,12,247,27,0.8681411406126524
qe_qft_5.qasm,126,20,383,38,0.7856862626449129
qft_10_quest.qasm,334,107,381,216,0.2857470382916369
qft_20.qasm,820,380,3290,380,0.0124581027931406
qft_5.qasm,68,20,208,33,0.7912282604131285
qft_nativegates_ibm_tket_8.qasm,262,56,1814,68,0.5103233458987361
qftentangled_nativegates_ibm_tket_8.qasm,295,61,2019,75,0.4807983732626921
qpeexact_nativegates_ibm_tket_8.qasm,286,55,1747,64,0.514934549226503
qpeinexact_nativegates_ibm_tket_8.qasm,312,56,1791,65,0.5077472061023177
qf21_n15.qasm,304,115,371,115,0.26337672925344174
vqe_4.qasm,289,68,509,74,0.444905067793629
vqe_nativegates_ibm_tket_8.qasm,93,14,535,14,0.8412326040070265
vqe_uccsd_n4.qasm,183,61,556,88,0.4877422265836574
vqe_uccsd_n6.qasm,1741,838,5522,1052,5.738966028267097e-05
ham15-high.qasm,4975,2120,6778,2149,2.195252669463883e-11
misex1_241.qasm,4837,2100,6065,2100,2.8129750475036922e-11
0410184_169.qasm,260,97,287,104,0.32164760054436226
4gt10-v1_81.qasm,158,65,188,66,0.4707693579369189
4gt12-v1_89.qasm,234,100,292,100,0.3142301835626677
4gt13_90.qasm,111,46,131,53,0.5868458160339034
4gt13_92.qasm,72,30,82,30,0.706482008749294
4gt4-v0_72.qasm,263,113,326,113,0.27050534584728675
4gt4-v0_73.qasm,391,169,491,179,0.14154308422091819
4gt5_76.qasm,85,36,111,46,0.6592768926564692
4mod5-bdd_287.qasm,79,29,98,31,0.712865671609191
4mod5-v0_18.qasm,63,28,93,31,0.7233631838067948
4mod7-v1_96.qasm,168,69,212,72,0.44968471311581987
C17_204.qasm,479,205,587,205,0.09323740832269438
TFIM_step_100_16.qasm,1936,240,3840,240,0.05137527216000555
TFIM_step_10_4.qasm,100,12,192,12,0.8620604221847497
XY_step_100_8.qasm,239,56,784,56,0.5137785422600435
adder_8.qasm,1169,383,1060,409,0.011136128642903366
adder_9.qasm,153,56,194,98,0.5201739419541339
ae_nativegates_ibm_tket_8.qasm,283,56,1626,56,0.5097497431696236
aj-e11_165.qasm,167,69,191,69,0.44917926812539105
alu-bdd_288.qasm,88,38,108,38,0.6438913036668152
alu-v0_27.qasm,43,17,48,17,0.8206786841778031
alu-v1_28.qasm,42,18,49,18,0.8112741001630044
alu-v1_29.qasm,45,17,53,17,0.8204479764877164
alu-v2_30.qasm,542,219,636,223,0.07894319695328329
alu-v3_34.qasm,59,24,68,24,0.7566414841282924
alu-v4_37.qasm,41,17,49,18,0.8206786841778031
barenco_tof_3.qasm,63,24,70,24,0.7570670749209976
cm42a_207.qasm,1810,769,2276,771,0.00013603273127226305
cm82a_208.qasm,679,282,838,283,0.03804136452805442
csum_mux_9.qasm,470,168,476,168,0.14098678553590283
cycle10_2_110.qasm,6179,2638,7562,2648,5.502433187873519e-14
dc1_220.qasm,1925,833,2430,833,6.525771805729769e-05
decod24-v3_45.qasm,160,64,206,64,0.47609281133732895
ex1_226.qasm,7,5,15,5,0.9434699651600734
f2_232.qasm,1227,525,1530,525,0.002296682408444944
gf2^10_mult.qasm,1313,609,1423,609,0.0008850848000261954
gf2^4_mult.qasm,233,99,253,99,0.31823054466383566
gf2^8_mult.qasm,861,402,943,405,0.009632579819772304
ham15-med.qasm,1179,498,1711,534,0.0031227779665256032
ham7_104.qasm,343,145,396,149,0.18643748823750572
heisenberg_step_10_4.qasm,330,100,1232,180,0.3075869469133613
heisenberg_step_20_4.qasm,650,200,2462,360,0.09471619077782958
heisenberg_step_30_4.qasm,970,300,3692,540,0.029166246765306124
heisenberg_step_35_4.qasm,1130,350,4307,630,0.016184851053719345
heisenberg_step_45_4.qasm,1450,450,5537,810,0.004983850763168542
heisenberg_step_50_4.qasm,1610,500,6152,900,0.0027656243508094635
hlf_10.qasm,84,24,119,56,0.752398712728112
hwb4_49.qasm,267,99,289,107,0.3154689351630775
hwb5_53.qasm,1451,593,1664,598,0.0010295919490867528
hwb6.qasm,282,111,415,116,0.27456544860609255
hwb6_56.qasm,7058,2940,8399,2952,1.6243791033576631e-15
ising_model_13.qasm,487,120,919,120,0.24268818830410746
ising_model_16.qasm,604,150,1138,150,0.1704454986546282
majority_239.qasm,617,266,776,267,0.04605484077823505
miller_11.qasm,120,19,62,23,0.7936776955940268
adr4_197.qasm,3454,1491,4355,1498,3.219569748586369e-08
mod10_171.qasm,261,107,308,108,0.28938530459865963
mod10_176.qasm,185,77,226,78,0.40996018680500773
mod5_4.qasm,70,28,75,28,0.7229565399029606
mod_mult_55.qasm,145,48,147,48,0.5699366866958492
mod_red_21.qasm,335,104,338,105,0.2943069172756696
muliply_5.qasm,58,14,165,20,0.8469282553146487
multiply_10.qasm,347,104,310,163,0.2943896755626141
one-two-three-v0_97.qasm,308,128,362,128,0.22704705828533459
one-two-three-v1_99.qasm,149,58,168,59,0.5093217762279098
one-two-three-v2_100.qasm,78,31,89,32,0.6977972423732783
qcla_adder_10.qasm,558,205,621,233,0.09237633343625301
qcla_com_7.qasm,504,174,521,186,0.13119706032471898
qgan_nativegates_ibm_tket_8.qasm,98,28,700,28,0.717489168892672
qiskit-alu-v0_26.qasm,86,38,108,38,0.644253475469567
radd_250.qasm,3250,1402,4045,1405,8.97273344583858e-08
rd32-v1_68.qasm,29,10,52,16,0.8896351789358871
rd32_270.qasm,100,34,116,36,0.6708676244216185
rd53_131.qasm,473,197,649,200,0.10181293358398737
rd53_133.qasm,583,249,724,256,0.056007655727020246
rd53_135.qasm,308,134,368,134,0.21211483715616716
rd53_138.qasm,132,56,164,60,0.5226661585884611
rd53_251.qasm,1336,560,1639,564,0.001524827291584071
rd73_140.qasm,228,98,286,104,0.3213769855049567
rd73_252.qasm,5383,2310,6737,2319,2.4481845519837192e-12
z4_268.qasm,3155,1340,3881,1343,1.8272716306765485e-07
sf_274.qasm,793,336,1025,336,0.020426832390624233
pm1_249.qasm,1810,769,2276,771,0.00013603273127226305
sqrt8_260.qasm,3043,1313,3805,1314,2.5218244529229927e-07
sym6_145.qasm,3888,1701,4860,1701,2.8577450283642867e-09
sym6_316.qasm,289,123,346,123,0.24044817463781637
tof_5.qasm,128,40,133,42,0.6263942922086605
wim_266.qasm,1002,427,1270,427,0.007140355840421779
heisenberg_step_40_4.qasm,1290,400,4922,720,0.008981251709859174
cm152a_212.qasm,1244,531,1545,532,0.0021408156482997233
rd53_130.qasm,1056,448,1375,448,0.005584909036420754
sf_276.qasm,792,336,1010,336,0.02043257635910448
ex2_227.qasm,644,275,807,275,0.041458623669153816
ham15-low.qasm,455,225,637,236,0.07381356722922097
heisenberg_step_5_4.qasm,170,50,617,90,0.5542934417923234
alu-v2_31.qasm,466,197,567,198,0.10221448020203414
gf2^6_mult.qasm,497,221,539,221,0.07781958099667421
barenco_tof_10.qasm,462,192,518,192,0.10833888091465846
mod8-10_178.qasm,371,152,430,152,0.17155188789078762
decod24-enable_126.qasm,354,149,422,149,0.17803733099666427
gf2^5_mult.qasm,353,154,383,154,0.16863535356337278
rd53_311.qasm,309,123,367,124,0.23957092870542365
mini-alu_167.qasm,310,126,360,126,0.23221098091920542
4gt12-v0_86.qasm,253,110,311,116,0.28002220975117237
4gt4-v0_78.qasm,239,104,291,109,0.300072178234993
4_49_16.qasm,235,96,273,99,0.3283168902080221
rc_adder_6.qasm,277,81,244,93,0.38580694562927204
4gt12-v0_88.qasm,207,85,242,86,0.37353476685642306
4gt4-v0_80.qasm,192,79,227,79,0.40039291847426356
one-two-three-v0_98.qasm,154,62,182,65,0.4874689058341035
