benchmark,original_2q,optimized_2q
sys6-v0_111,98,93
rd84_142,154,147
ham15-low,236,225
TFIM_step_60_4,12,12
hlf_10,56,24
qcla_mod_7,382,366
heisenberg_step_20_4,360,200
radd_250,1405,1398
4gt4-v0_78,109,104
sqn_258,4459,4448
gf2^8_mult,405,402
4mod7-v0_94,72,69
co14_215,7840,7786
sf_276,336,336
vqe_uccsd_n6,1052,839
TFIM_step_20_4,12,12
decod24-v1_41,38,37
sym9_148,9408,9387
vqe_uccsd_n8,5488,4521
wim_266,427,426
sym9_146,148,141
urf2_152,35210,34049
gf2^4_mult,99,99
heisenberg_step_45_4,810,450
mlp4_245,8232,8221
vqe_4,74,68
4gt4-v0_79,105,100
cnt3-5_179,85,75
decod24-bdd_294,32,32
TFIM_step_30_4,12,12
dc1_220,833,833
4gt5_77,58,57
qaoa_n10_p4,120,120
mini-alu_167,126,126
qe_qft_5,38,20
gf2^5_mult,154,154
alu-v4_37,18,17
con1_216,415,413
root_255,7493,7487
grover_pigeon3,92,92
max46_240,11844,11827
urf2_277,10066,9641
adder_9,98,56
urf1_278,26692,25721
qft_5,33,20
qpeinexact_nativegates_ibm_tket_8,65,56
TFIM_step_70_4,12,12
qaoa_n14_p4,168,168
alu-v4_36,51,48
rd53_251,564,560
qaoa_n20_p4,240,240
qe_qft_4,27,12
gf2^9_mult,494,494
4gt5_76,46,36
heisenberg_step_30_4,540,300
csum_mux_9,168,168
TFIM_step_100_32,992,992
adder_8,409,383
sqrt8_260,1314,1311
qaoa_n30_p4,360,360
heisenberg_step_15_4,270,150
decod24-v0_38,23,20
4gt13_90,53,46
graycode6_47,5,5
4gt13-v1_93,30,29
rd32-v0_66,16,10
mod5_4,28,28
alu-v3_35,18,17
sym10_262,28084,27967
cm42a_207,771,769
decod24-v3_45,64,64
ising_model_13,120,120
4gt12-v0_86,116,110
4gt12-v0_88,86,85
portfoliovqe_nativegates_ibm_tket_8,84,84
mod5mils_65,16,16
qaoa_5,42,21
mod_red_21,105,104
qft_nativegates_ibm_tket_8,68,56
rd73_140,104,98
TFIM_step_100_16,240,240
4gt13_91,49,45
TFIM_step_80_4,12,12
TFIM_step_100_4,12,12
4gt12-v0_87,112,109
alu-v3_34,24,24
4mod5-v0_20,10,9
mod5d2_64,25,25
XY_step_100_8,56,56
4mod5-v0_18,31,28
4gt10-v1_81,66,65
mod_mult_55,48,48
TFIM_step_90_4,12,12
rd53_135,134,133
4gt12-v1_89,100,100
3_17_13,17,17
inc_237,4636,4634
alu-v2_33,17,17
qpeexact_nativegates_ibm_tket_8,64,55
decod24-v2_43,22,21
heisenberg_step_50_8,2100,1300
rd53_133,256,249
z4_268,1343,1336
4mod5-v0_19,16,16
ae_nativegates_ibm_tket_8,56,56
rd73_252,2319,2309
rd32-v1_68,16,10
qft_10_quest,216,107
alu-v2_32,72,72
qaoa_n4_p4,48,48
sym6_145,1701,1701
square_root_7,3089,2550
mod5d1_63,13,13
rd53_311,124,123
ex-1_166,9,8
one-two-three-v0_98,65,62
barenco_tof_5,72,72
cycle10_2_110,2648,2630
tof_4,30,29
decod24-enable_126,149,149
4gt4-v0_72,113,113
qft_10,90,0
tof_3,18,18
misex1_241,2100,2097
one-two-three-v3_101,32,32
urf5_280,23764,22928
portfolioqaoa_nativegates_ibm_tket_8,168,168
vqe_uccsd_n4,88,61
barenco_tof_3,24,24
4gt4-v0_80,79,79
one-two-three-v0_97,128,128
one-two-three-v2_100,32,31
4gt4-v0_73,179,169
qft_16,240,0
sf_274,336,336
tof_5,42,40
barenco_tof_4,48,48
qft_20,380,380
hwb6,116,111
muliply_5,20,14
squar5_261,869,866
rd32_270,36,34
qiskit-alu-v0_26,38,38
rc_adder_6,93,81
4gt4-v1_74,119,119
hwb8_113,30372,30181
mod10_176,78,77
adder_4,24,15
mod10_171,108,107
cm82a_208,283,281
one-two-three-v1_99,59,58
hwb5_53,598,591
4mod7-v1_96,72,69
qcla_com_7,186,174
