benchmark,unmodified8,qaoa4,qaoa4norigetti,qaoa4norigettionehr,qaoa4onehr,onehour3
adder_8,309,,,,,391
barenco_tof_10,130,,,,,142
barenco_tof_3,18,,,,,18
barenco_tof_4,34,,,,,34
barenco_tof_5,50,,,,,50
csla_mux_3,70,,,,,73
csum_mux_9,168,,,,,168
decomp0_adder_8,409,,,,,409
decomp0_barenco_tof_10,192,,,,,192
decomp0_barenco_tof_3,22,,,,,22
decomp0_barenco_tof_4,44,,,,,48
decomp0_barenco_tof_5,66,,,,,72
decomp0_csla_mux_3,70,,,,,75
decomp0_csum_mux_9,168,,,,,168
decomp0_gf2^10_mult,609,,,,,609
decomp0_gf2^4_mult,99,,,,,99
decomp0_gf2^5_mult,154,,,,,154
decomp0_gf2^6_mult,221,,,,,221
decomp0_gf2^7_mult,300,,,,,300
decomp0_gf2^8_mult,403,,,,,405
decomp0_gf2^9_mult,494,,,,,494
decomp0_mod5_4,27,,,,,27
decomp0_mod_mult_55,46,,,,,46
decomp0_mod_red_21,101,,,,,105
decomp0_qcla_adder_10,216,,,,,233
decomp0_qcla_com_7,172,,,,,186
decomp0_qcla_mod_7,382,,,,,382
decomp0_rc_adder_6,85,,,,,91
decomp0_tof_10,86,,,,,102
decomp0_tof_3,16,,,,,16
decomp0_tof_4,26,,,,,26
decomp0_tof_5,36,,,,,40
decomp0_vbe_adder_3,54,,,,,62
gf2^10_mult,608,,,,,609
gf2^4_mult,96,,,,,97
gf2^5_mult,148,,,,,153
gf2^6_mult,218,,,,,220
gf2^7_mult,294,,,,,299
gf2^8_mult,403,,,,,405
gf2^9_mult,490,,,,,494
mod5_4,27,,,,,27
mod_mult_55,44,,,,,44
mod_red_21,91,,,,,92
qcla_adder_10,188,,,,,199
qcla_com_7,127,,,,,129
qcla_mod_7,305,,,,,364
rc_adder_6,79,,,,,87
tof_10,70,,,,,70
tof_3,14,,,,,14
tof_4,22,,,,,22
tof_5,30,,,,,30
vbe_adder_3,44,,,,,46
qaoa_n10_p4,,120,120,120,120,
qaoa_n14_p4,,166,165,168,168,
qaoa_n20_p4,,240,240,240,240,
qaoa_n30_p4,,360,360,360,360,
qaoa_n4_p4,,36,36,37,37,
qaoa_n6_p4,,65,65,69,69,
qaoa_n8_p4,,92,92,96,96,
