benchmark,unmodified8,qaoa4,qaoa4norigetti,qaoa4norigettionehr,qaoa4onehr,onehour3
adder_8,399,,,,,407
barenco_tof_10,128,,,,,188
barenco_tof_3,16,,,,,16
barenco_tof_4,30,,,,,30
barenco_tof_5,44,,,,,48
csla_mux_3,74,,,,,76
csum_mux_9,112,,,,,166
decomp0_barenco_tof_3,20,,,,,22
decomp0_barenco_tof_4,,,,,,48
decomp0_csla_mux_3,76,,,,,80
decomp0_gf2^10_mult,609,,,,,609
decomp0_gf2^4_mult,99,,,,,99
decomp0_gf2^5_mult,154,,,,,154
decomp0_gf2^6_mult,221,,,,,221
decomp0_gf2^7_mult,300,,,,,300
decomp0_gf2^9_mult,494,,,,,494
decomp0_mod5_4,,,,,,28
decomp0_mod_mult_55,43,,,,,48
decomp0_mod_red_21,105,,,,,105
decomp0_qcla_adder_10,,,,,,233
decomp0_qcla_com_7,186,,,,,186
decomp0_rc_adder_6,,,,,,93
decomp0_tof_3,16,,,,,16
decomp0_tof_4,,,,,,30
decomp0_tof_5,,,,,,42
decomp0_vbe_adder_3,,,,,,70
gf2^10_mult,609,,,,,609
gf2^4_mult,96,,,,,99
gf2^5_mult,150,,,,,154
gf2^6_mult,220,,,,,221
gf2^7_mult,299,,,,,300
gf2^9_mult,494,,,,,494
mod5_4,15,,,,,22
mod_mult_55,39,,,,,40
mod_red_21,81,,,,,105
qcla_adder_10,196,,,,,231
qcla_com_7,128,,,,,182
qcla_mod_7,372,,,,,380
rc_adder_6,73,,,,,73
tof_10,70,,,,,90
tof_3,14,,,,,14
tof_4,22,,,,,22
tof_5,30,,,,,30
vbe_adder_3,41,,,,,47
qaoa_n10_p4,,120,120,120,120,
qaoa_n14_p4,,165,165,167,167,
qaoa_n20_p4,,239,239,239,239,
qaoa_n4_p4,,33,34,44,44,
qaoa_n6_p4,,68,68,69,69,
qaoa_n8_p4,,96,96,96,96,
gf2^8_mult,,,,,,405
decomp0_adder_8,,,,,,409
decomp0_barenco_tof_5,,,,,,72
decomp0_barenco_tof_10,,,,,,192
decomp0_csum_mux_9,,,,,,168
decomp0_gf2^8_mult,,,,,,405
decomp0_qcla_mod_7,,,,,,382
decomp0_tof_10,,,,,,102
qaoa_n30_p4,,,,,360,
