benchmark,unmodified8,qaoa4,qaoa4norigetti,qaoa4norigettionehr,qaoa4onehr,norigettiop1,norigettiopOnehr1,onehour3
adder_8,321,,,,,409,409,321
barenco_tof_10,160,,,,,192,192,160
barenco_tof_3,20,,,,,24,24,20
barenco_tof_4,40,,,,,48,48,40
barenco_tof_5,60,,,,,72,72,60
csla_mux_3,76,,,,,80,80,76
csum_mux_9,168,,,,,168,168,168
decomp0_adder_8,409,,,,,409,409,409
decomp0_barenco_tof_10,192,,,,,192,192,192
decomp0_barenco_tof_3,24,,,,,24,24,24
decomp0_barenco_tof_4,48,,,,,48,48,48
decomp0_barenco_tof_5,72,,,,,72,72,72
decomp0_csla_mux_3,80,,,,,80,80,80
decomp0_csum_mux_9,168,,,,,168,168,168
decomp0_gf2^10_mult,609,,,,,609,609,609
decomp0_gf2^4_mult,99,,,,,99,99,99
decomp0_gf2^5_mult,154,,,,,154,154,154
decomp0_gf2^6_mult,221,,,,,221,221,221
decomp0_gf2^7_mult,300,,,,,300,300,300
decomp0_gf2^8_mult,405,,,,,405,405,405
decomp0_gf2^9_mult,494,,,,,494,494,494
decomp0_mod5_4,28,,,,,28,28,28
decomp0_mod_mult_55,48,,,,,48,48,48
decomp0_mod_red_21,105,,,,,105,105,105
decomp0_qcla_adder_10,233,,,,,233,233,233
decomp0_qcla_com_7,186,,,,,186,186,186
decomp0_qcla_mod_7,382,,,,,382,382,382
decomp0_rc_adder_6,93,,,,,93,93,93
decomp0_tof_10,102,,,,,102,102,102
decomp0_tof_3,18,,,,,18,18,18
decomp0_tof_4,30,,,,,30,30,30
decomp0_tof_5,42,,,,,42,42,42
decomp0_vbe_adder_3,70,,,,,70,70,70
gf2^10_mult,609,,,,,609,609,609
gf2^4_mult,99,,,,,99,99,99
gf2^5_mult,154,,,,,154,154,154
gf2^6_mult,221,,,,,221,221,221
gf2^7_mult,300,,,,,300,300,300
gf2^8_mult,405,,,,,405,405,405
gf2^9_mult,494,,,,,494,494,494
mod5_4,28,,,,,28,28,28
mod_mult_55,40,,,,,48,48,40
mod_red_21,81,,,,,105,105,81
qcla_adder_10,199,,,,,233,233,199
qcla_com_7,132,,,,,186,186,132
qcla_mod_7,312,,,,,382,382,312
rc_adder_6,73,,,,,93,93,73
tof_10,70,,,,,102,102,70
tof_3,14,,,,,18,18,14
tof_4,22,,,,,30,30,22
tof_5,30,,,,,42,42,30
vbe_adder_3,52,,,,,70,70,52
qaoa_n10_p4,,120,120,120,120,120,120,
qaoa_n14_p4,,168,168,168,168,168,168,
qaoa_n20_p4,,240,240,240,240,240,240,
qaoa_n30_p4,,360,360,360,360,360,360,
qaoa_n4_p4,,48,48,48,48,48,48,
qaoa_n6_p4,,72,72,72,72,72,72,
qaoa_n8_p4,,96,96,96,96,96,96,
qaoa_n10_p1,,,,,,30,30,
qaoa_n10_p2,,,,,,60,60,
qaoa_n10_p3,,,,,,90,90,
qaoa_n12_p1,,,,,,36,36,
qaoa_n12_p2,,,,,,72,72,
qaoa_n12_p3,,,,,,108,108,
qaoa_n12_p4,,,,,,144,144,
qaoa_n14_p1,,,,,,42,42,
qaoa_n14_p2,,,,,,84,84,
qaoa_n14_p3,,,,,,126,126,
qaoa_n16_p1,,,,,,48,48,
qaoa_n16_p2,,,,,,96,96,
qaoa_n16_p3,,,,,,144,144,
qaoa_n16_p4,,,,,,192,192,
qaoa_n18_p1,,,,,,54,54,
qaoa_n18_p2,,,,,,108,108,
qaoa_n18_p3,,,,,,162,162,
qaoa_n18_p4,,,,,,216,216,
qaoa_n20_p1,,,,,,60,60,
qaoa_n20_p2,,,,,,120,120,
qaoa_n20_p3,,,,,,180,180,
qaoa_n22_p1,,,,,,66,66,
qaoa_n22_p2,,,,,,132,132,
qaoa_n22_p3,,,,,,198,198,
qaoa_n22_p4,,,,,,264,264,
qaoa_n24_p1,,,,,,72,72,
qaoa_n24_p2,,,,,,144,144,
qaoa_n24_p3,,,,,,216,216,
qaoa_n24_p4,,,,,,288,288,
qaoa_n26_p1,,,,,,78,78,
qaoa_n26_p2,,,,,,156,156,
qaoa_n26_p3,,,,,,234,234,
qaoa_n26_p4,,,,,,312,312,
qaoa_n28_p1,,,,,,84,84,
qaoa_n28_p2,,,,,,168,168,
qaoa_n28_p3,,,,,,252,252,
qaoa_n28_p4,,,,,,336,336,
qaoa_n30_p1,,,,,,90,90,
qaoa_n30_p2,,,,,,180,180,
qaoa_n30_p3,,,,,,270,270,
qaoa_n4_p1,,,,,,12,12,
qaoa_n4_p2,,,,,,24,24,
qaoa_n4_p3,,,,,,36,36,
qaoa_n6_p1,,,,,,18,18,
qaoa_n6_p2,,,,,,36,36,
qaoa_n6_p3,,,,,,54,54,
qaoa_n8_p1,,,,,,24,24,
qaoa_n8_p2,,,,,,48,48,
qaoa_n8_p3,,,,,,72,72,
