benchmark,onehour3,qaoa4norigettionehr,qaoa4onehr
adder_8,718,,
barenco_tof_10,265,,
barenco_tof_4,67,,
barenco_tof_5,98,,
csla_mux_3,143,,
csum_mux_9,343,,
decomp0_adder_8,894,,
decomp0_barenco_tof_10,423,,
decomp0_barenco_tof_3,47,,
decomp0_barenco_tof_4,102,,
decomp0_barenco_tof_5,154,,
decomp0_csla_mux_3,148,,
decomp0_csum_mux_9,383,,
decomp0_gf2^10_mult,1345,,
decomp0_gf2^4_mult,218,,
decomp0_gf2^5_mult,338,,
decomp0_gf2^6_mult,483,,
decomp0_gf2^7_mult,657,,
decomp0_gf2^8_mult,877,,
decomp0_gf2^9_mult,1092,,
decomp0_mod5_4,56,,
decomp0_mod_mult_55,94,,
decomp0_mod_red_21,244,,
decomp0_qcla_adder_10,498,,
decomp0_qcla_com_7,408,,
decomp0_qcla_mod_7,878,,
decomp0_rc_adder_6,173,,
decomp0_tof_10,226,,
decomp0_tof_3,36,,
decomp0_tof_4,58,,
decomp0_tof_5,89,,
decomp0_vbe_adder_3,135,,
gf2^10_mult,1059,,
gf2^4_mult,179,,
gf2^5_mult,281,,
gf2^6_mult,394,,
gf2^7_mult,535,,
gf2^8_mult,695,,
gf2^9_mult,874,,
mod5_4,51,,
mod_mult_55,91,,
mod_red_21,206,,
qcla_adder_10,398,,
qcla_com_7,270,,
qcla_mod_7,708,,
rc_adder_6,160,,
vbe_adder_3,84,,
barenco_tof_3,36,,
tof_10,157,,
tof_3,31,,
tof_4,49,,
tof_5,67,,
qaoa_n10_p4,,505,479
qaoa_n14_p4,,745,741
qaoa_n20_p4,,1093,1089
qaoa_n30_p4,,1647,1647
qaoa_n4_p4,,88,88
qaoa_n6_p4,,176,135
qaoa_n8_p4,,320,320
