benchmark,onehour3,qaoa4norigettionehr,qaoa4onehr
adder_8,730,,
barenco_tof_10,322,,
barenco_tof_4,68,,
barenco_tof_5,102,,
csla_mux_3,156,,
csum_mux_9,306,,
decomp0_adder_8,900,,
decomp0_barenco_tof_10,450,,
decomp0_barenco_tof_3,54,,
decomp0_barenco_tof_4,114,,
decomp0_barenco_tof_5,170,,
decomp0_csla_mux_3,164,,
decomp0_csum_mux_9,420,,
decomp0_gf2^10_mult,1345,,
decomp0_gf2^4_mult,219,,
decomp0_gf2^5_mult,343,,
decomp0_gf2^6_mult,493,,
decomp0_gf2^7_mult,667,,
decomp0_gf2^8_mult,883,,
decomp0_gf2^9_mult,1093,,
decomp0_mod_mult_55,115,,
decomp0_mod_red_21,272,,
decomp0_qcla_adder_10,521,,
decomp0_qcla_com_7,441,,
decomp0_qcla_mod_7,884,,
decomp0_rc_adder_6,200,,
decomp0_tof_10,255,,
decomp0_tof_3,42,,
decomp0_tof_4,75,,
decomp0_tof_5,105,,
decomp0_vbe_adder_3,150,,
gf2^10_mult,1060,,
gf2^4_mult,180,,
gf2^5_mult,281,,
gf2^6_mult,399,,
gf2^7_mult,541,,
gf2^8_mult,703,,
gf2^9_mult,877,,
mod_mult_55,94,,
mod_red_21,228,,
qcla_adder_10,448,,
qcla_com_7,345,,
qcla_mod_7,725,,
rc_adder_6,154,,
tof_10,195,,
tof_3,35,,
tof_4,55,,
tof_5,75,,
vbe_adder_3,92,,
barenco_tof_3,38,,
qaoa_n10_p4,,549,549
qaoa_n14_p4,,769,769
qaoa_n20_p4,,1099,1099
qaoa_n4_p4,,205,205
qaoa_n6_p4,,327,327
qaoa_n8_p4,,437,437
mod5_4,40,,
decomp0_mod5_4,63,,
qaoa_n30_p4,,,1650
