benchmark,onehour3,qaoa4norigettionehr,qaoa4onehr,norigettiopOnehr1
adder_8,2767,,,4232
barenco_tof_10,960,,,1919
barenco_tof_3,148,,,240
barenco_tof_4,272,,,472
barenco_tof_5,386,,,704
csla_mux_3,654,,,808
csum_mux_9,1100,,,1677
decomp0_adder_8,3979,,,4401
decomp0_barenco_tof_10,1923,,,2052
decomp0_barenco_tof_3,220,,,242
decomp0_barenco_tof_4,448,,,480
decomp0_barenco_tof_5,668,,,716
decomp0_csla_mux_3,690,,,810
decomp0_csum_mux_9,1702,,,1800
decomp0_gf2^10_mult,6161,,,6329
decomp0_gf2^4_mult,907,,,963
decomp0_gf2^5_mult,1491,,,1571
decomp0_gf2^6_mult,2213,,,2300
decomp0_gf2^7_mult,3032,,,3132
decomp0_gf2^8_mult,3964,,,4204
decomp0_gf2^9_mult,4984,,,5143
decomp0_mod5_4,225,,,279
decomp0_mod_mult_55,439,,,503
decomp0_mod_red_21,973,,,1081
decomp0_qcla_adder_10,2269,,,2510
decomp0_qcla_com_7,1854,,,2010
decomp0_qcla_mod_7,3842,,,4170
decomp0_rc_adder_6,784,,,920
decomp0_tof_10,935,,,1071
decomp0_tof_3,164,,,188
decomp0_tof_4,275,,,315
decomp0_tof_5,382,,,441
decomp0_vbe_adder_3,624,,,680
gf2^10_mult,5179,,,6044
gf2^4_mult,796,,,948
gf2^5_mult,1252,,,1505
gf2^6_mult,1867,,,2203
gf2^7_mult,2560,,,3004
gf2^8_mult,3340,,,4023
gf2^9_mult,4205,,,4926
mod5_4,197,,,275
mod_mult_55,361,,,497
mod_red_21,738,,,1068
qcla_adder_10,1722,,,2437
qcla_com_7,1131,,,1909
qcla_mod_7,2762,,,4012
rc_adder_6,606,,,898
tof_10,631,,,1055
tof_3,135,,,187
tof_4,199,,,311
tof_5,271,,,435
vbe_adder_3,367,,,666
qaoa_n10_p4,,1724,1445,1643
qaoa_n14_p4,,2461,2146,2371
qaoa_n20_p4,,3547,2997,3421
qaoa_n30_p4,,5333,4579,5151
qaoa_n4_p4,,576,472,576
qaoa_n6_p4,,864,712,864
qaoa_n8_p4,,1319,1085,1253
qaoa_n10_p1,,,,390
qaoa_n10_p2,,,,740
qaoa_n10_p3,,,,1162
qaoa_n12_p1,,,,468
qaoa_n12_p2,,,,888
qaoa_n12_p3,,,,1463
qaoa_n12_p4,,,,2011
qaoa_n14_p1,,,,546
qaoa_n14_p2,,,,1078
qaoa_n14_p3,,,,1751
qaoa_n16_p1,,,,624
qaoa_n16_p2,,,,1291
qaoa_n16_p3,,,,2029
qaoa_n16_p4,,,,2723
qaoa_n18_p1,,,,702
qaoa_n18_p2,,,,1492
qaoa_n18_p3,,,,2299
qaoa_n18_p4,,,,3073
qaoa_n20_p1,,,,780
qaoa_n20_p2,,,,1685
qaoa_n20_p3,,,,2567
qaoa_n22_p1,,,,858
qaoa_n22_p2,,,,1873
qaoa_n22_p3,,,,2833
qaoa_n22_p4,,,,3769
qaoa_n24_p1,,,,936
qaoa_n24_p2,,,,2061
qaoa_n24_p3,,,,3097
qaoa_n24_p4,,,,4115
qaoa_n26_p1,,,,1021
qaoa_n26_p2,,,,2243
qaoa_n26_p3,,,,3361
qaoa_n26_p4,,,,4461
qaoa_n28_p1,,,,1136
qaoa_n28_p2,,,,2431
qaoa_n28_p3,,,,3623
qaoa_n28_p4,,,,4807
qaoa_n30_p1,,,,1253
qaoa_n30_p2,,,,2609
qaoa_n30_p3,,,,3885
qaoa_n4_p1,,,,156
qaoa_n4_p2,,,,296
qaoa_n4_p3,,,,436
qaoa_n6_p1,,,,234
qaoa_n6_p2,,,,444
qaoa_n6_p3,,,,654
qaoa_n8_p1,,,,312
qaoa_n8_p2,,,,592
qaoa_n8_p3,,,,872
