benchmark,SymbolicOptimizer-leq2-PQ-3.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-SymbPreserve-PQ-3.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-ReduceAll-PQ-3.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-RZ-Obj-Flip-RZ.jar_3600_8000_rules_q3_s3_ion1.txt_rules_q3_s3_ion1_symb.txt_ion_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_rules_q3_s6_nam_nosub.txt_rules_q3_s3_nam_nosub_symb.txt_nam_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_rules_q3_s5_rigetti2.txt_rules_q3_s3_rigetti2_symb.txt_rigetti_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_rules_q3_s3_ion1.txt_rules_q3_s3_ion1_symb.txt_ion_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_empty.txt_empty.txt_ibm_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_best_rules_ibm_nov3_nonsymb.txt_best_rules_ibm_nov3_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-Base-IBM-New.jar_3600_8000_rules_q3_s6_ibmnew.txt_rules_q3_s3_ibmnew_symb.txt_ibmnew_-1_0_7_10,SymbolicOptimizer-Base-Fidelity.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10
adder_8,695,687,809,1507,752,2142,687,1387,900,675,899,1497
barenco_tof_10,347,347,352,733,395,1044,317,673,450,310,380,530
barenco_tof_3,46,44,50,96,48,134,44,92,58,44,58,70
barenco_tof_4,89,83,94,187,90,264,83,175,114,82,107,131
barenco_tof_5,132,122,138,278,150,394,122,258,170,120,150,195
csla_mux_3,148,147,158,306,149,418,147,263,170,144,184,340
csum_mux_9,378,378,392,692,406,935,378,656,420,375,417,733
gf2^10_mult,1172,1241,1298,2354,1257,3172,1215,2359,1347,1130,1353,3190
gf2^4_mult,189,191,209,386,202,512,191,347,225,187,228,431
gf2^5_mult,292,288,325,599,308,809,291,536,347,288,360,769
gf2^6_mult,431,420,468,858,450,1154,426,763,495,412,508,1087
gf2^7_mult,576,591,636,1163,611,1564,573,1031,669,557,659,1459
gf2^8_mult,743,771,845,1542,832,2081,759,1483,883,729,896,2074
gf2^9_mult,958,958,1051,1911,1020,2579,969,1765,1095,920,1104,2479
mod5_4,53,50,54,109,49,143,52,100,63,52,65,74
mod_mult_55,105,103,110,192,108,267,103,165,119,103,123,188
mod_red_21,233,222,252,422,230,614,222,397,278,219,271,401
qcla_adder_10,429,430,471,908,467,1267,430,839,521,404,504,991
qcla_com_7,342,341,385,725,357,1020,341,693,443,316,395,634
qcla_mod_7,720,720,762,1424,786,2022,720,1309,884,700,865,1858
rc_adder_6,171,171,184,327,182,485,171,288,200,171,203,260
tof_10,190,190,222,402,215,580,190,386,255,190,242,274
tof_3,36,36,40,73,40,104,36,71,45,36,47,46
tof_4,58,58,66,120,65,172,58,116,75,58,73,79
tof_5,80,80,92,167,90,240,80,161,105,80,102,112
vbe_adder_3,100,94,122,265,93,368,94,245,150,94,100,167
qaoa_n10_p4,270,270,270,394,310,714,266,358,550,266,386,457
qaoa_n14_p4,378,374,378,562,426,1010,374,518,770,374,522,659
