benchmark,SymbolicOptimizer-leq2-PQ-3.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-SymbPreserve-PQ-3.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-ReduceAll-PQ-3.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-RZ-Obj-Flip-RZ.jar_3600_8000_rules_q3_s3_ion1.txt_rules_q3_s3_ion1_symb.txt_ion_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_rules_q3_s6_nam_nosub.txt_rules_q3_s3_nam_nosub_symb.txt_nam_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_rules_q3_s5_rigetti2.txt_rules_q3_s3_rigetti2_symb.txt_rigetti_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_rules_q3_s3_ion1.txt_rules_q3_s3_ion1_symb.txt_ion_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_empty.txt_empty.txt_ibm_-1_0_7_10,SymbolicOptimizer-Base-PQ-3.jar_3600_8000_best_rules_ibm_nov3_nonsymb.txt_best_rules_ibm_nov3_symb.txt_ibm_-1_0_7_10,SymbolicOptimizer-Base-IBM-New.jar_3600_8000_rules_q3_s6_ibmnew.txt_rules_q3_s3_ibmnew_symb.txt_ibmnew_-1_0_7_10,SymbolicOptimizer-Base-Fidelity.jar_3600_8000_rules_q3_s4_ibm.txt_rules_q3_s3_ibm_symb.txt_ibm_-1_0_7_10
adder_8,351,347,409,409,348,409,347,409,409,339,376,1070
barenco_tof_10,176,176,178,192,176,192,161,192,192,161,162,327
barenco_tof_3,22,21,24,24,20,24,21,24,24,21,22,46
barenco_tof_4,44,41,46,48,39,48,41,48,48,41,44,84
barenco_tof_5,66,61,68,72,66,72,61,72,72,61,62,124
csla_mux_3,74,73,80,80,70,80,73,80,80,72,73,261
csum_mux_9,168,168,168,168,168,168,168,168,168,168,168,498
gf2^10_mult,609,609,609,609,609,609,604,609,609,601,609,2475
gf2^4_mult,99,97,99,99,99,99,97,99,99,97,99,316
gf2^5_mult,154,151,154,154,154,154,151,154,154,151,154,595
gf2^6_mult,221,217,221,221,221,221,217,221,221,217,221,835
gf2^7_mult,300,297,300,300,300,300,295,300,300,295,300,1119
gf2^8_mult,405,401,405,405,405,405,399,405,405,399,405,1621
gf2^9_mult,494,490,494,494,494,494,487,494,494,487,494,1904
mod5_4,28,24,26,28,23,28,24,28,28,24,27,48
mod_mult_55,46,46,48,48,46,48,46,48,48,46,46,127
mod_red_21,99,94,105,105,92,105,94,105,105,92,99,253
qcla_adder_10,213,211,233,233,211,233,211,233,233,206,206,743
qcla_com_7,158,157,180,186,149,186,157,186,186,146,153,432
qcla_mod_7,358,358,374,382,352,382,358,382,382,355,352,1431
rc_adder_6,87,87,93,93,81,93,87,89,93,87,81,175
tof_10,86,86,102,102,86,102,86,102,102,86,86,162
tof_3,16,16,18,18,16,18,16,18,18,16,16,26
tof_4,26,26,30,30,26,30,26,30,30,26,26,46
tof_5,36,36,42,42,36,42,36,42,42,36,36,66
vbe_adder_3,54,48,66,70,44,70,48,70,70,48,44,105
qaoa_n10_p4,120,120,120,120,120,120,116,120,120,116,120,307
qaoa_n14_p4,168,164,168,168,160,168,164,168,168,164,160,449
qaoa_n20_p4,240,236,240,240,236,240,236,240,240,232,236,789
qaoa_n30_p4,360,360,360,360,360,360,360,360,360,353,360,1606
qaoa_n4_p4,48,40,48,48,30,48,40,48,48,40,44,90
qaoa_n6_p4,72,64,72,72,64,72,64,72,72,64,68,171
qaoa_n8_p4,96,92,96,96,92,96,92,96,96,88,92,222
ibm_afterQuartzPP_adder_8,,,,,,,298,,,,,
ibm_afterQuartzPP_barenco_tof_10,,,,,,,130,,,,,
ibm_afterQuartzPP_barenco_tof_3,,,,,,,18,,,,,
ibm_afterQuartzPP_barenco_tof_4,,,,,,,34,,,,,
ibm_afterQuartzPP_barenco_tof_5,,,,,,,50,,,,,
ibm_afterQuartzPP_csla_mux_3,,,,,,,73,,,,,
ibm_afterQuartzPP_csum_mux_9,,,,,,,168,,,,,
ibm_afterQuartzPP_gf2^10_mult,,,,,,,574,,,,,
ibm_afterQuartzPP_gf2^4_mult,,,,,,,96,,,,,
ibm_afterQuartzPP_gf2^5_mult,,,,,,,148,,,,,
ibm_afterQuartzPP_gf2^6_mult,,,,,,,211,,,,,
ibm_afterQuartzPP_gf2^7_mult,,,,,,,287,,,,,
ibm_afterQuartzPP_gf2^8_mult,,,,,,,382,,,,,
